,skull_thershold,raise_thershold,win_count_score,win_count_elim
0,0.0,0.0,1232.0,3.0
1,0.0,0.1111111111111111,1381.0,5.0
2,0.0,0.2222222222222222,1664.0,16.0
3,0.0,0.3333333333333333,1928.0,37.0
4,0.0,0.4444444444444444,2319.0,81.0
5,0.0,0.5555555555555556,2449.0,155.0
6,0.0,0.6666666666666666,2633.0,228.0
7,0.0,0.7777777777777777,2529.0,417.0
8,0.0,0.8888888888888888,2248.0,539.0
9,0.0,1.0,1688.0,712.0
10,0.1111111111111111,0.0,1513.0,3.0
11,0.1111111111111111,0.1111111111111111,1727.0,6.0
12,0.1111111111111111,0.2222222222222222,1977.0,16.0
13,0.1111111111111111,0.3333333333333333,2227.0,48.0
14,0.1111111111111111,0.4444444444444444,2498.0,83.0
15,0.1111111111111111,0.5555555555555556,2719.0,155.0
16,0.1111111111111111,0.6666666666666666,2854.0,261.0
17,0.1111111111111111,0.7777777777777777,2759.0,391.0
18,0.1111111111111111,0.8888888888888888,2477.0,520.0
19,0.1111111111111111,1.0,1864.0,638.0
20,0.2222222222222222,0.0,1898.0,3.0
21,0.2222222222222222,0.1111111111111111,2047.0,4.0
22,0.2222222222222222,0.2222222222222222,2396.0,18.0
23,0.2222222222222222,0.3333333333333333,2533.0,29.0
24,0.2222222222222222,0.4444444444444444,2974.0,66.0
25,0.2222222222222222,0.5555555555555556,3191.0,101.0
26,0.2222222222222222,0.6666666666666666,3193.0,203.0
27,0.2222222222222222,0.7777777777777777,3119.0,325.0
28,0.2222222222222222,0.8888888888888888,2830.0,430.0
29,0.2222222222222222,1.0,2147.0,486.0
30,0.3333333333333333,0.0,2315.0,0.0
31,0.3333333333333333,0.1111111111111111,2524.0,2.0
32,0.3333333333333333,0.2222222222222222,2709.0,11.0
33,0.3333333333333333,0.3333333333333333,3001.0,28.0
34,0.3333333333333333,0.4444444444444444,3219.0,55.0
35,0.3333333333333333,0.5555555555555556,3523.0,96.0
36,0.3333333333333333,0.6666666666666666,3607.0,191.0
37,0.3333333333333333,0.7777777777777777,3477.0,268.0
38,0.3333333333333333,0.8888888888888888,3020.0,367.0
39,0.3333333333333333,1.0,2538.0,455.0
40,0.4444444444444444,0.0,2623.0,0.0
41,0.4444444444444444,0.1111111111111111,2859.0,4.0
42,0.4444444444444444,0.2222222222222222,3097.0,13.0
43,0.4444444444444444,0.3333333333333333,3456.0,16.0
44,0.4444444444444444,0.4444444444444444,3614.0,58.0
45,0.4444444444444444,0.5555555555555556,3826.0,67.0
46,0.4444444444444444,0.6666666666666666,3870.0,140.0
47,0.4444444444444444,0.7777777777777777,3779.0,186.0
48,0.4444444444444444,0.8888888888888888,3538.0,241.0
49,0.4444444444444444,1.0,3005.0,322.0
50,0.5555555555555556,0.0,3126.0,1.0
51,0.5555555555555556,0.1111111111111111,3281.0,3.0
52,0.5555555555555556,0.2222222222222222,3463.0,6.0
53,0.5555555555555556,0.3333333333333333,3761.0,8.0
54,0.5555555555555556,0.4444444444444444,4201.0,39.0
55,0.5555555555555556,0.5555555555555556,4276.0,53.0
56,0.5555555555555556,0.6666666666666666,4329.0,100.0
57,0.5555555555555556,0.7777777777777777,4197.0,133.0
58,0.5555555555555556,0.8888888888888888,3923.0,168.0
59,0.5555555555555556,1.0,3441.0,217.0
60,0.6666666666666666,0.0,3456.0,0.0
61,0.6666666666666666,0.1111111111111111,3653.0,2.0
62,0.6666666666666666,0.2222222222222222,3894.0,4.0
63,0.6666666666666666,0.3333333333333333,4242.0,11.0
64,0.6666666666666666,0.4444444444444444,4435.0,25.0
65,0.6666666666666666,0.5555555555555556,4572.0,31.0
66,0.6666666666666666,0.6666666666666666,4604.0,65.0
67,0.6666666666666666,0.7777777777777777,4475.0,86.0
68,0.6666666666666666,0.8888888888888888,4210.0,119.0
69,0.6666666666666666,1.0,3727.0,154.0
70,0.7777777777777777,0.0,3972.0,1.0
71,0.7777777777777777,0.1111111111111111,4083.0,1.0
72,0.7777777777777777,0.2222222222222222,4348.0,3.0
73,0.7777777777777777,0.3333333333333333,4521.0,3.0
74,0.7777777777777777,0.4444444444444444,4870.0,9.0
75,0.7777777777777777,0.5555555555555556,5016.0,29.0
76,0.7777777777777777,0.6666666666666666,4986.0,44.0
77,0.7777777777777777,0.7777777777777777,4963.0,71.0
78,0.7777777777777777,0.8888888888888888,4454.0,84.0
79,0.7777777777777777,1.0,4086.0,112.0
80,0.8888888888888888,0.0,4295.0,0.0
81,0.8888888888888888,0.1111111111111111,4532.0,0.0
82,0.8888888888888888,0.2222222222222222,4877.0,0.0
83,0.8888888888888888,0.3333333333333333,4998.0,6.0
84,0.8888888888888888,0.4444444444444444,5119.0,5.0
85,0.8888888888888888,0.5555555555555556,5360.0,23.0
86,0.8888888888888888,0.6666666666666666,5303.0,36.0
87,0.8888888888888888,0.7777777777777777,5153.0,43.0
88,0.8888888888888888,0.8888888888888888,4829.0,69.0
89,0.8888888888888888,1.0,4346.0,50.0
90,1.0,0.0,4664.0,0.0
91,1.0,0.1111111111111111,4887.0,1.0
92,1.0,0.2222222222222222,5110.0,0.0
93,1.0,0.3333333333333333,5319.0,5.0
94,1.0,0.4444444444444444,5520.0,10.0
95,1.0,0.5555555555555556,5584.0,22.0
96,1.0,0.6666666666666666,5574.0,18.0
97,1.0,0.7777777777777777,5349.0,37.0
98,1.0,0.8888888888888888,5081.0,47.0
99,1.0,1.0,4499.0,37.0
