,skull_thershold,raise_thershold,win_count_score,win_count_elim
0,0.0,0.0,1247.0,0.0
1,0.0,0.041666666666666664,1284.0,2.0
2,0.0,0.08333333333333333,1384.0,3.0
3,0.0,0.125,1437.0,9.0
4,0.0,0.16666666666666666,1555.0,6.0
5,0.0,0.20833333333333331,1594.0,14.0
6,0.0,0.25,1724.0,14.0
7,0.0,0.29166666666666663,1826.0,25.0
8,0.0,0.3333333333333333,1977.0,38.0
9,0.0,0.375,2026.0,46.0
10,0.0,0.41666666666666663,2149.0,69.0
11,0.0,0.4583333333333333,2252.0,78.0
12,0.0,0.5,2340.0,113.0
13,0.0,0.5416666666666666,2399.0,133.0
14,0.0,0.5833333333333333,2505.0,157.0
15,0.0,0.625,2544.0,201.0
16,0.0,0.6666666666666666,2558.0,287.0
17,0.0,0.7083333333333333,2620.0,307.0
18,0.0,0.75,2556.0,325.0
19,0.0,0.7916666666666666,2500.0,409.0
20,0.0,0.8333333333333333,2398.0,490.0
21,0.0,0.875,2251.0,534.0
22,0.0,0.9166666666666666,2136.0,627.0
23,0.0,0.9583333333333333,1890.0,660.0
24,0.0,1.0,1690.0,702.0
25,0.041666666666666664,0.0,1281.0,2.0
26,0.041666666666666664,0.041666666666666664,1389.0,3.0
27,0.041666666666666664,0.08333333333333333,1434.0,3.0
28,0.041666666666666664,0.125,1552.0,5.0
29,0.041666666666666664,0.16666666666666666,1637.0,11.0
30,0.041666666666666664,0.20833333333333331,1718.0,12.0
31,0.041666666666666664,0.25,1861.0,20.0
32,0.041666666666666664,0.29166666666666663,1936.0,23.0
33,0.041666666666666664,0.3333333333333333,2021.0,26.0
34,0.041666666666666664,0.375,2186.0,54.0
35,0.041666666666666664,0.41666666666666663,2274.0,60.0
36,0.041666666666666664,0.4583333333333333,2328.0,85.0
37,0.041666666666666664,0.5,2434.0,105.0
38,0.041666666666666664,0.5416666666666666,2503.0,130.0
39,0.041666666666666664,0.5833333333333333,2613.0,184.0
40,0.041666666666666664,0.625,2665.0,208.0
41,0.041666666666666664,0.6666666666666666,2664.0,282.0
42,0.041666666666666664,0.7083333333333333,2706.0,316.0
43,0.041666666666666664,0.75,2611.0,342.0
44,0.041666666666666664,0.7916666666666666,2567.0,406.0
45,0.041666666666666664,0.8333333333333333,2472.0,468.0
46,0.041666666666666664,0.875,2354.0,551.0
47,0.041666666666666664,0.9166666666666666,2150.0,609.0
48,0.041666666666666664,0.9583333333333333,2057.0,649.0
49,0.041666666666666664,1.0,1786.0,740.0
50,0.08333333333333333,0.0,1412.0,4.0
51,0.08333333333333333,0.041666666666666664,1513.0,1.0
52,0.08333333333333333,0.08333333333333333,1548.0,6.0
53,0.08333333333333333,0.125,1648.0,11.0
54,0.08333333333333333,0.16666666666666666,1744.0,8.0
55,0.08333333333333333,0.20833333333333331,1900.0,15.0
56,0.08333333333333333,0.25,1967.0,20.0
57,0.08333333333333333,0.29166666666666663,2047.0,29.0
58,0.08333333333333333,0.3333333333333333,2090.0,31.0
59,0.08333333333333333,0.375,2282.0,48.0
60,0.08333333333333333,0.41666666666666663,2437.0,63.0
61,0.08333333333333333,0.4583333333333333,2495.0,78.0
62,0.08333333333333333,0.5,2498.0,115.0
63,0.08333333333333333,0.5416666666666666,2618.0,143.0
64,0.08333333333333333,0.5833333333333333,2767.0,187.0
65,0.08333333333333333,0.625,2761.0,170.0
66,0.08333333333333333,0.6666666666666666,2827.0,257.0
67,0.08333333333333333,0.7083333333333333,2815.0,270.0
68,0.08333333333333333,0.75,2743.0,344.0
69,0.08333333333333333,0.7916666666666666,2606.0,429.0
70,0.08333333333333333,0.8333333333333333,2539.0,457.0
71,0.08333333333333333,0.875,2452.0,535.0
72,0.08333333333333333,0.9166666666666666,2244.0,557.0
73,0.08333333333333333,0.9583333333333333,2033.0,611.0
74,0.08333333333333333,1.0,1796.0,680.0
75,0.125,0.0,1520.0,3.0
76,0.125,0.041666666666666664,1631.0,1.0
77,0.125,0.08333333333333333,1694.0,6.0
78,0.125,0.125,1792.0,3.0
79,0.125,0.16666666666666666,1902.0,6.0
80,0.125,0.20833333333333331,2041.0,11.0
81,0.125,0.25,2000.0,13.0
82,0.125,0.29166666666666663,2214.0,16.0
83,0.125,0.3333333333333333,2288.0,26.0
84,0.125,0.375,2341.0,48.0
85,0.125,0.41666666666666663,2522.0,67.0
86,0.125,0.4583333333333333,2614.0,93.0
87,0.125,0.5,2722.0,119.0
88,0.125,0.5416666666666666,2784.0,129.0
89,0.125,0.5833333333333333,2774.0,177.0
90,0.125,0.625,2861.0,178.0
91,0.125,0.6666666666666666,2883.0,253.0
92,0.125,0.7083333333333333,2997.0,280.0
93,0.125,0.75,2793.0,347.0
94,0.125,0.7916666666666666,2827.0,400.0
95,0.125,0.8333333333333333,2743.0,489.0
96,0.125,0.875,2559.0,536.0
97,0.125,0.9166666666666666,2349.0,565.0
98,0.125,0.9583333333333333,2173.0,570.0
99,0.125,1.0,1838.0,615.0
100,0.16666666666666666,0.0,1657.0,1.0
101,0.16666666666666666,0.041666666666666664,1791.0,5.0
102,0.16666666666666666,0.08333333333333333,1858.0,4.0
103,0.16666666666666666,0.125,1901.0,3.0
104,0.16666666666666666,0.16666666666666666,1937.0,12.0
105,0.16666666666666666,0.20833333333333331,2014.0,17.0
106,0.16666666666666666,0.25,2156.0,16.0
107,0.16666666666666666,0.29166666666666663,2198.0,26.0
108,0.16666666666666666,0.3333333333333333,2421.0,31.0
109,0.16666666666666666,0.375,2531.0,35.0
110,0.16666666666666666,0.41666666666666663,2620.0,72.0
