,player_type,count,skull_threshold
0,approx q learning,326,0.2828282828282829
1,"smart 2: 0, 0.4",135,0.2828282828282829
2,"smart 2: 0, 0.6",298,0.2828282828282829
3,"smart 2: 2, 0.6",241,0.2828282828282829
0,approx q learning,310,0.29292929292929293
1,"smart 2: 0, 0.4",141,0.29292929292929293
2,"smart 2: 0, 0.6",250,0.29292929292929293
3,"smart 2: 2, 0.6",299,0.29292929292929293
0,approx q learning,341,0.30303030303030304
1,"smart 2: 0, 0.4",135,0.30303030303030304
2,"smart 2: 0, 0.6",292,0.30303030303030304
3,"smart 2: 2, 0.6",232,0.30303030303030304
0,approx q learning,323,0.31313131313131315
1,"smart 2: 0, 0.4",135,0.31313131313131315
2,"smart 2: 0, 0.6",283,0.31313131313131315
3,"smart 2: 2, 0.6",259,0.31313131313131315
0,approx q learning,330,0.32323232323232326
1,"smart 2: 0, 0.4",142,0.32323232323232326
2,"smart 2: 0, 0.6",259,0.32323232323232326
3,"smart 2: 2, 0.6",269,0.32323232323232326
0,approx q learning,93,0.33333333333333337
1,"smart 2: 0, 0.4",168,0.33333333333333337
2,"smart 2: 0, 0.6",427,0.33333333333333337
3,"smart 2: 2, 0.6",312,0.33333333333333337
0,approx q learning,348,0.3434343434343435
1,"smart 2: 0, 0.4",138,0.3434343434343435
2,"smart 2: 0, 0.6",242,0.3434343434343435
3,"smart 2: 2, 0.6",272,0.3434343434343435
0,approx q learning,324,0.3535353535353536
1,"smart 2: 0, 0.4",140,0.3535353535353536
2,"smart 2: 0, 0.6",278,0.3535353535353536
3,"smart 2: 2, 0.6",258,0.3535353535353536
0,approx q learning,332,0.36363636363636365
1,"smart 2: 0, 0.4",128,0.36363636363636365
2,"smart 2: 0, 0.6",282,0.36363636363636365
3,"smart 2: 2, 0.6",258,0.36363636363636365
0,approx q learning,355,0.37373737373737376
1,"smart 2: 0, 0.4",140,0.37373737373737376
2,"smart 2: 0, 0.6",234,0.37373737373737376
3,"smart 2: 2, 0.6",271,0.37373737373737376
0,approx q learning,347,0.38383838383838387
1,"smart 2: 0, 0.4",157,0.38383838383838387
2,"smart 2: 0, 0.6",252,0.38383838383838387
3,"smart 2: 2, 0.6",244,0.38383838383838387
0,approx q learning,360,0.393939393939394
1,"smart 2: 0, 0.4",145,0.393939393939394
2,"smart 2: 0, 0.6",257,0.393939393939394
3,"smart 2: 2, 0.6",238,0.393939393939394
0,approx q learning,364,0.4040404040404041
1,"smart 2: 0, 0.4",130,0.4040404040404041
2,"smart 2: 0, 0.6",252,0.4040404040404041
3,"smart 2: 2, 0.6",254,0.4040404040404041
0,approx q learning,389,0.4141414141414142
1,"smart 2: 0, 0.4",130,0.4141414141414142
2,"smart 2: 0, 0.6",235,0.4141414141414142
3,"smart 2: 2, 0.6",246,0.4141414141414142
0,approx q learning,365,0.42424242424242425
1,"smart 2: 0, 0.4",147,0.42424242424242425
2,"smart 2: 0, 0.6",231,0.42424242424242425
3,"smart 2: 2, 0.6",257,0.42424242424242425
0,approx q learning,372,0.43434343434343436
1,"smart 2: 0, 0.4",132,0.43434343434343436
2,"smart 2: 0, 0.6",226,0.43434343434343436
3,"smart 2: 2, 0.6",270,0.43434343434343436
0,approx q learning,341,0.4444444444444445
1,"smart 2: 0, 0.4",123,0.4444444444444445
2,"smart 2: 0, 0.6",265,0.4444444444444445
3,"smart 2: 2, 0.6",271,0.4444444444444445
0,approx q learning,379,0.4545454545454546
1,"smart 2: 0, 0.4",163,0.4545454545454546
2,"smart 2: 0, 0.6",228,0.4545454545454546
3,"smart 2: 2, 0.6",230,0.4545454545454546
0,approx q learning,364,0.4646464646464647
1,"smart 2: 0, 0.4",143,0.4646464646464647
2,"smart 2: 0, 0.6",236,0.4646464646464647
3,"smart 2: 2, 0.6",257,0.4646464646464647
0,approx q learning,383,0.4747474747474748
1,"smart 2: 0, 0.4",148,0.4747474747474748
2,"smart 2: 0, 0.6",216,0.4747474747474748
3,"smart 2: 2, 0.6",253,0.4747474747474748
0,approx q learning,363,0.48484848484848486
1,"smart 2: 0, 0.4",129,0.48484848484848486
2,"smart 2: 0, 0.6",239,0.48484848484848486
3,"smart 2: 2, 0.6",269,0.48484848484848486
0,approx q learning,353,0.494949494949495
1,"smart 2: 0, 0.4",141,0.494949494949495
2,"smart 2: 0, 0.6",229,0.494949494949495
3,"smart 2: 2, 0.6",277,0.494949494949495
0,approx q learning,354,0.5050505050505051
1,"smart 2: 0, 0.4",147,0.5050505050505051
2,"smart 2: 0, 0.6",257,0.5050505050505051
3,"smart 2: 2, 0.6",242,0.5050505050505051
0,approx q learning,345,0.5151515151515152
1,"smart 2: 0, 0.4",158,0.5151515151515152
2,"smart 2: 0, 0.6",249,0.5151515151515152
3,"smart 2: 2, 0.6",248,0.5151515151515152
0,approx q learning,347,0.5252525252525253
1,"smart 2: 0, 0.4",148,0.5252525252525253
2,"smart 2: 0, 0.6",241,0.5252525252525253
3,"smart 2: 2, 0.6",264,0.5252525252525253
0,approx q learning,55,0.5353535353535354
1,"smart 2: 0, 0.4",171,0.5353535353535354
2,"smart 2: 0, 0.6",375,0.5353535353535354
3,"smart 2: 2, 0.6",399,0.5353535353535354
0,approx q learning,346,0.5454545454545455
1,"smart 2: 0, 0.4",166,0.5454545454545455
2,"smart 2: 0, 0.6",216,0.5454545454545455
3,"smart 2: 2, 0.6",272,0.5454545454545455
0,approx q learning,320,0.5555555555555556
1,"smart 2: 0, 0.4",150,0.5555555555555556
2,"smart 2: 0, 0.6",252,0.5555555555555556
3,"smart 2: 2, 0.6",278,0.5555555555555556
0,approx q learning,329,0.5656565656565657
