,player_type,player,result
289,rand,2,win via score
290,nice,0,win via score
291,rand,3,win via score
292,rand,3,win via score
293,nice,0,win via score
294,nice,0,win via score
295,nice,0,win via score
296,nice,0,win via score
297,rand,3,win via score
298,rand,2,win via score
299,nice,0,win via score
300,nice,0,win via score
301,rand,3,win via score
302,rand,3,win via score
303,nice,0,win via score
304,rand,2,win via score
305,rand,3,win via score
306,nice,0,win via score
307,rand,2,win via score
308,nice,0,win via score
309,nice,0,win via score
310,nice,0,win via score
311,nice,0,win via score
312,nice,0,win via score
313,rand,2,win via score
314,rand,2,win via score
315,rand,3,win via score
316,rand,3,win via score
317,rand,3,win via score
318,rand,3,win via score
319,nice,0,win via score
320,rand,3,win via score
321,nice,0,win via score
322,rand,2,win via score
323,rand,3,win via score
324,nice,0,win via score
325,nice,0,win via score
326,rand,3,win via score
327,nice,0,win via score
328,rand,2,win via score
329,rand,3,win via score
330,nice,0,win via score
331,rand,3,win via score
332,rand,2,win via score
333,rand,2,win via score
334,nice,0,win via score
335,nice,0,win via score
336,nice,0,win via score
337,nice,0,win via score
338,nice,0,win via score
339,nice,0,win via score
340,nice,0,win via score
341,rand,2,win via score
342,rand,2,win via score
343,rand,3,win via score
344,nice,0,win via score
345,rand,3,win via score
346,nice,0,win via score
347,rand,2,win via score
348,nice,0,win via score
349,nice,0,win via score
350,nice,0,win via score
351,nice,0,win via score
352,rand,3,win via score
353,nice,0,win via score
354,nice,0,win via score
355,nice,0,win via score
356,nice,0,win via score
357,nice,0,win via score
358,nice,0,win via score
359,rand,3,win via score
360,nice,0,win via score
361,nice,0,win via score
362,nice,0,win via score
363,nice,0,win via score
364,rand,2,win via score
365,nice,0,win via score
366,nice,0,win via score
367,rand,3,win via score
368,nice,0,win via score
369,nice,0,win via score
370,rand,2,win via score
371,nice,0,win via score
372,rand,3,win via score
373,nice,0,win via score
374,rand,3,win via score
375,rand,2,win via score
376,rand,3,win via score
377,nice,0,win via score
378,rand,2,win via score
379,rand,2,win via score
380,rand,2,win via score
381,rand,3,win via score
382,nice,0,win via score
383,rand,2,win via score
384,rand,3,win via score
385,rand,2,win via score
386,nice,0,win via score
387,rand,3,win via score
388,nice,0,win via score
389,rand,2,win via score
390,rand,2,win via score
391,rand,3,win via score
392,nice,0,win via score
393,rand,3,win via score
394,nice,0,win via score
395,rand,2,win via score
396,rand,2,win via score
397,rand,3,win via score
398,rand,2,win via score
399,nice,0,win via score
400,nice,0,win via score
401,nice,0,win via score
402,nice,0,win via score
403,rand,3,win via score
404,nice,0,win via score
405,rand,2,win via score
406,rand,3,win via score
407,rand,2,win via score
408,rand,2,win via score
409,nice,0,win via score
410,nice,0,win via score
411,nice,0,win via score
412,nice,0,win via score
413,rand,3,win via score
414,rand,2,win via score
415,nice,0,win via score
416,rand,2,win via score
417,nice,0,win via score
418,nice,0,win via score
419,rand,3,win via score
420,nice,0,win via score
421,rand,3,win via score
422,nice,0,win via score
423,nice,0,win via score
424,nice,0,win via score
425,nice,0,win via score
426,rand,3,win via score
427,nice,0,win via score
428,nice,0,win via score
429,rand,3,win via score
430,rand,3,win via score
431,nice,0,win via score
