,player_type,player,result
289,nice,0,win via score
290,rand,3,win via score
291,nice,0,win via score
292,nice,0,win via score
293,nice,0,win via score
294,nice,0,win via score
295,rand,1,win via score
296,rand,2,win via score
297,rand,1,win via score
298,nice,0,win via score
299,rand,2,win via score
300,nice,0,win via score
301,nice,0,win via score
302,nice,0,win via score
303,nice,0,win via score
304,nice,0,win via score
305,rand,3,win via elim
306,nice,0,win via score
307,nice,0,win via score
308,rand,2,win via score
309,nice,0,win via score
310,nice,0,win via score
311,nice,0,win via score
312,rand,2,win via score
313,rand,1,win via score
314,rand,1,win via score
315,rand,3,win via score
316,nice,0,win via score
317,rand,2,win via score
318,rand,3,win via score
319,rand,2,win via score
320,nice,0,win via score
321,rand,3,win via score
322,rand,1,win via score
323,rand,2,win via score
324,nice,0,win via score
325,rand,1,win via score
326,rand,1,win via score
327,nice,0,win via score
328,rand,1,win via score
329,rand,1,win via score
330,nice,0,win via score
331,rand,3,win via score
332,nice,0,win via score
333,rand,1,win via score
334,nice,0,win via score
335,rand,1,win via score
336,rand,2,win via score
337,rand,2,win via score
338,nice,0,win via score
339,rand,2,win via score
340,nice,0,win via score
341,rand,3,win via score
342,nice,0,win via score
343,nice,0,win via score
344,rand,2,win via score
345,nice,0,win via score
346,nice,0,win via score
347,nice,0,win via score
348,rand,3,win via score
349,rand,3,win via score
350,rand,3,win via score
351,rand,1,win via score
352,rand,1,win via score
353,rand,1,win via score
354,rand,2,win via score
355,nice,0,win via score
356,rand,3,win via score
357,nice,0,win via score
358,rand,1,win via score
359,rand,2,win via score
360,nice,0,win via score
361,nice,0,win via score
362,rand,3,win via score
363,rand,3,win via elim
364,rand,3,win via score
365,rand,1,win via score
366,rand,1,win via score
367,rand,1,win via score
368,nice,0,win via score
369,rand,2,win via score
370,nice,0,win via score
371,nice,0,win via score
372,nice,0,win via score
373,nice,0,win via score
374,rand,3,win via score
375,nice,0,win via score
376,rand,3,win via score
377,nice,0,win via score
378,nice,0,win via score
379,nice,0,win via score
380,nice,0,win via score
381,rand,3,win via score
382,rand,2,win via elim
383,rand,2,win via score
384,nice,0,win via score
