,player_type,player,result
144,"smart: 0.5, 0.6",1,win via score
145,"smart: 0.5, 0.6",3,win via score
146,"smart: 0.5, 0.6",2,win via score
147,"smart: 0.5, 0.6",3,win via score
148,"smart: 0.5, 0.6",3,win via score
149,"smart: 0.5, 0.6",2,win via elim
150,"smart: 0.5, 0.6",1,win via score
151,"smart: 0.5, 0.6",1,win via score
152,"smart: 0.5, 0.6",3,win via score
153,"smart: 0.5, 0.6",1,win via score
154,"smart: 0.5, 0.6",2,win via score
155,"smart: 0.5, 0.6",1,win via score
156,"smart: 0.5, 0.6",2,win via score
157,"smart: 0.5, 0.6",1,win via score
158,"smart: 0.5, 0.6",3,win via score
159,"smart: 0.5, 0.6",3,win via score
160,"smart: 0.5, 0.6",1,win via score
161,"smart: 0.5, 0.6",2,win via score
162,"smart: 0.5, 0.6",0,win via score
163,"smart: 0.5, 0.6",1,win via score
164,"smart: 0.5, 0.6",0,win via score
165,"smart: 0.5, 0.6",2,win via score
166,"smart: 0.5, 0.6",0,win via score
167,"smart: 0.5, 0.6",1,win via score
168,"smart: 0.5, 0.6",0,win via score
169,"smart: 0.5, 0.6",3,win via score
170,"smart: 0.5, 0.6",2,win via score
171,"smart: 0.5, 0.6",1,win via score
172,"smart: 0.5, 0.6",2,win via score
173,"smart: 0.5, 0.6",0,win via score
174,"smart: 0.5, 0.6",1,win via score
175,"smart: 0.5, 0.6",2,win via score
176,"smart: 0.5, 0.6",0,win via score
177,"smart: 0.5, 0.6",0,win via score
178,"smart: 0.5, 0.6",1,win via score
179,"smart: 0.5, 0.6",2,win via score
180,"smart: 0.5, 0.6",0,win via score
181,"smart: 0.5, 0.6",0,win via score
182,"smart: 0.5, 0.6",0,win via score
183,"smart: 0.5, 0.6",0,win via score
184,"smart: 0.5, 0.6",0,win via score
185,"smart: 0.5, 0.6",0,win via score
186,"smart: 0.5, 0.6",1,win via score
187,"smart: 0.5, 0.6",0,win via score
188,"smart: 0.5, 0.6",0,win via score
189,"smart: 0.5, 0.6",2,win via score
190,"smart: 0.5, 0.6",2,win via score
191,"smart: 0.5, 0.6",0,win via score
192,"smart: 0.5, 0.6",0,win via score
193,"smart: 0.5, 0.6",2,win via score
194,"smart: 0.5, 0.6",0,win via score
195,"smart: 0.5, 0.6",0,win via score
196,"smart: 0.5, 0.6",2,win via score
197,"smart: 0.5, 0.6",3,win via score
198,"smart: 0.5, 0.6",3,win via score
199,"smart: 0.5, 0.6",2,win via score
200,"smart: 0.5, 0.6",2,win via score
201,"smart: 0.5, 0.6",0,win via score
202,"smart: 0.5, 0.6",0,win via score
