,player type,player,result
164,"smart 2: 0, 0.4",1,turned flower
165,"smart 2: 0, 0.4",1,self lose challange
166,approx q learning,0,turned flower
167,approx q learning,0,turned flower
168,approx q learning,0,lose challange
169,"smart 2: 0, 0.6",3,self lose challange
170,approx q learning,0,turned flower
171,approx q learning,0,turned flower
172,approx q learning,0,turned flower
173,approx q learning,0,lose game
174,"smart 2: 0, 0.6",3,self lose challange
175,"smart 2: 0, 0.4",1,turned flower
176,"smart 2: 0, 0.4",1,win challange
177,"smart 2: 0, 0.4",1,turned flower
178,"smart 2: 0, 0.4",1,turned flower
179,"smart 2: 0, 0.4",1,win challange
180,"smart 2: 0, 0.4",1,self lose challange
181,"smart 2: 0, 0.4",1,self lose challange
182,"smart 2: 0, 0.4",1,turned flower
183,"smart 2: 0, 0.4",1,lose challange
184,approx q learning,0,turned flower
185,approx q learning,0,turned flower
186,approx q learning,0,lose challange
187,approx q learning,0,turned flower
188,approx q learning,0,turned flower
189,approx q learning,0,lose challange
190,approx q learning,0,turned flower
191,approx q learning,0,turned flower
192,approx q learning,0,turned flower
193,approx q learning,0,win challange
194,approx q learning,0,turned flower
195,approx q learning,0,turned flower
196,approx q learning,0,turned flower
197,approx q learning,0,lose challange
198,"smart 2: 0, 0.6",3,self lose challange
199,"smart 2: 0, 0.6",3,turned flower
200,"smart 2: 0, 0.6",3,lose challange
201,approx q learning,0,self lose game
202,"smart 2: 0, 0.6",3,turned flower
203,"smart 2: 0, 0.6",3,turned flower
204,"smart 2: 0, 0.6",3,win challange
205,"smart 2: 2, 0.6",2,self lose challange
206,"smart 2: 0, 0.6",3,turned flower
207,"smart 2: 0, 0.6",3,win challange
208,approx q learning,0,turned flower
209,approx q learning,0,turned flower
210,approx q learning,0,turned flower
211,approx q learning,0,lose challange
212,"smart 2: 0, 0.6",3,self lose challange
213,"smart 2: 2, 0.6",2,turned flower
214,"smart 2: 2, 0.6",2,lose challange
215,"smart 2: 0, 0.4",1,self lose challange
216,approx q learning,0,turned flower
217,approx q learning,0,turned flower
218,approx q learning,0,lose challange
219,approx q learning,0,turned flower
220,approx q learning,0,turned flower
221,approx q learning,0,turned flower
222,approx q learning,0,lose challange
223,"smart 2: 0, 0.4",1,self lose challange
224,"smart 2: 0, 0.4",1,turned flower
225,"smart 2: 0, 0.4",1,turned flower
226,"smart 2: 0, 0.4",1,turned flower
227,"smart 2: 0, 0.4",1,lose challange
228,"smart 2: 0, 0.4",1,self lose game
229,approx q learning,0,turned flower
230,approx q learning,0,turned flower
231,approx q learning,0,turned flower
232,approx q learning,0,win challange
233,"smart 2: 0, 0.6",3,self lose challange
234,approx q learning,0,turned flower
235,approx q learning,0,turned flower
236,approx q learning,0,turned flower
237,approx q learning,0,lose game
238,"smart 2: 0, 0.6",3,turned flower
239,"smart 2: 0, 0.6",3,turned flower
240,"smart 2: 0, 0.6",3,win challange
241,"smart 2: 2, 0.6",2,turned flower
242,"smart 2: 2, 0.6",2,win challange
243,"smart 2: 2, 0.6",2,win challange
244,approx q learning,0,turned flower
