,player,result
2328,0,win via score
2329,3,win via score
2330,3,win via score
2331,2,win via score
2332,1,win via score
2333,3,win via score
2334,3,win via score
2335,1,win via score
2336,3,win via score
2337,3,win via score
2338,3,win via score
2339,2,win via score
2340,1,win via score
2341,3,win via score
2342,2,win via score
2343,0,win via score
2344,3,win via score
2345,3,win via score
2346,3,win via score
2347,1,win via score
2348,3,win via score
2349,1,win via score
2350,2,win via score
2351,0,win via score
2352,3,win via score
2353,3,win via score
2354,1,win via score
2355,3,win via score
2356,3,win via score
2357,0,win via score
2358,0,win via score
2359,1,win via score
2360,2,win via score
2361,0,win via score
2362,0,win via score
2363,1,win via score
2364,0,win via score
2365,0,win via score
2366,1,win via score
2367,3,win via score
2368,2,win via score
2369,1,win via score
2370,3,win via score
2371,1,win via score
2372,3,win via score
2373,3,win via score
2374,1,win via score
2375,2,win via elim
2376,3,win via score
2377,1,win via score
2378,0,win via score
2379,1,win via score
2380,1,win via score
2381,3,win via score
2382,2,win via score
2383,2,win via score
2384,3,win via elim
2385,0,win via score
2386,1,win via score
2387,2,win via score
2388,3,win via score
2389,0,win via score
2390,1,win via score
2391,2,win via elim
2392,2,win via score
2393,3,win via score
2394,1,win via score
2395,0,win via score
2396,2,win via score
2397,1,win via score
2398,1,win via score
2399,2,win via score
2400,2,win via score
2401,3,win via score
2402,2,win via score
2403,0,win via score
2404,2,win via score
2405,0,win via score
2406,1,win via score
2407,3,win via score
2408,1,win via score
2409,1,win via elim
2410,2,win via score
2411,0,win via score
2412,2,win via elim
2413,2,win via score
2414,2,win via score
2415,1,win via score
2416,1,win via score
2417,2,win via score
2418,1,win via score
2419,2,win via score
2420,3,win via score
2421,0,win via score
2422,1,win via score
2423,1,win via score
2424,0,win via score
2425,2,win via score
2426,2,win via score
2427,1,win via score
2428,3,win via score
2429,2,win via score
2430,0,win via score
2431,2,win via score
2432,1,win via score
2433,3,win via score
2434,3,win via score
2435,3,win via score
2436,3,win via score
2437,3,win via score
2438,1,win via score
2439,2,win via score
2440,3,win via score
2441,2,win via score
2442,1,win via score
2443,1,win via score
2444,1,win via score
2445,0,win via score
2446,3,win via score
2447,1,win via elim
2448,1,win via score
2449,3,win via score
2450,3,win via score
2451,2,win via score
2452,1,win via score
2453,0,win via score
2454,0,win via score
2455,3,win via score
2456,1,win via score
2457,2,win via score
2458,1,win via score
2459,0,win via score
2460,2,win via score
2461,0,win via score
2462,3,win via elim
2463,0,win via score
2464,3,win via score
2465,0,win via score
2466,3,win via score
2467,1,win via score
2468,3,win via score
2469,2,win via elim
2470,1,win via score
2471,3,win via score
2472,0,win via score
2473,2,win via score
2474,3,win via score
2475,3,win via score
2476,2,win via score
2477,2,win via score
2478,0,win via score
2479,3,win via score
2480,1,win via elim
2481,3,win via score
2482,0,win via score
2483,0,win via score
2484,0,win via elim
2485,2,win via elim
2486,2,win via score
2487,3,win via score
2488,3,win via score
2489,2,win via score
2490,2,win via score
2491,2,win via score
2492,0,win via score
2493,2,win via score
2494,0,win via score
2495,2,win via score
2496,2,win via score
2497,2,win via score
2498,2,win via score
2499,0,win via score
2500,1,win via score
2501,3,win via score
2502,0,win via score
2503,1,win via score
2504,1,win via score
2505,2,win via score
2506,3,win via score
2507,2,win via elim
2508,3,win via score
2509,3,win via score
2510,2,win via score
2511,1,win via score
2512,0,win via score
2513,0,win via score
2514,0,win via score
2515,1,win via score
2516,3,win via score
2517,2,win via score
2518,2,win via score
2519,1,win via score
2520,2,win via score
2521,2,win via score
2522,0,win via score
2523,3,win via score
2524,0,win via score
2525,3,win via score
2526,2,win via score
2527,0,win via score
2528,2,win via score
2529,3,win via score
2530,1,win via score
2531,0,win via score
2532,0,win via score
2533,3,win via score
2534,0,win via score
2535,1,win via score
2536,0,win via score
2537,1,win via score
2538,1,win via score
2539,1,win via score
2540,0,win via score
2541,0,win via score
2542,3,win via score
2543,0,win via score
2544,0,win via score
2545,0,win via score
2546,2,win via score
2547,0,win via score
2548,0,win via score
2549,2,win via score
2550,2,win via score
2551,2,win via score
2552,3,win via score
2553,3,win via score
2554,3,win via score
2555,1,win via score
2556,2,win via score
2557,3,win via score
2558,2,win via score
2559,1,win via score
2560,2,win via score
2561,0,win via score
2562,1,win via score
2563,3,win via score
2564,1,win via score
2565,3,win via score
2566,2,win via score
2567,0,win via score
2568,2,win via score
2569,0,win via score
2570,0,win via score
2571,1,win via score
2572,1,win via score
2573,3,win via score
2574,1,win via score
2575,0,win via score
2576,2,win via score
2577,3,win via score
2578,1,win via score
2579,0,win via score
2580,2,win via score
2581,0,win via score
2582,1,win via score
2583,3,win via score
2584,0,win via score
2585,0,win via score
2586,3,win via score
2587,2,win via score
2588,1,win via score
2589,1,win via score
2590,2,win via score
2591,1,win via score
2592,1,win via score
2593,2,win via score
2594,0,win via score
2595,0,win via score
2596,2,win via score
2597,0,win via score
2598,3,win via score
2599,2,win via score
2600,1,win via score
2601,0,win via score
2602,3,win via score
2603,0,win via score
2604,0,win via score
2605,1,win via score
2606,3,win via score
2607,2,win via score
2608,0,win via elim
2609,3,win via score
2610,2,win via score
2611,3,win via score
2612,3,win via elim
2613,1,win via score
2614,0,win via score
2615,0,win via score
2616,1,win via score
2617,1,win via score
2618,3,win via score
2619,1,win via score
2620,1,win via score
2621,1,win via score
2622,0,win via score
2623,2,win via score
2624,2,win via score
2625,2,win via score
2626,1,win via score
2627,2,win via score
2628,1,win via score
2629,3,win via score
2630,1,win via score
2631,3,win via score
2632,0,win via score
2633,2,win via score
2634,2,win via score
2635,2,win via score
2636,3,win via score
2637,3,win via score
2638,1,win via score
2639,1,win via score
2640,2,win via score
2641,1,win via score
2642,1,win via score
2643,1,win via score
2644,1,win via score
2645,3,win via score
2646,0,win via score
2647,1,win via score
2648,2,win via score
2649,3,win via score
2650,0,win via score
2651,1,win via score
2652,3,win via score
2653,1,win via score
2654,0,win via score
2655,3,win via score
2656,0,win via score
2657,0,win via score
2658,3,win via score
2659,0,win via elim
2660,2,win via score
2661,2,win via score
2662,0,win via score
2663,0,win via score
2664,1,win via elim
2665,2,win via score
2666,3,win via score
2667,1,win via score
2668,0,win via score
2669,0,win via score
2670,1,win via score
2671,0,win via score
2672,3,win via score
2673,3,win via score
2674,1,win via score
2675,2,win via score
2676,0,win via score
2677,1,win via score
2678,2,win via score
2679,3,win via score
2680,3,win via score
2681,2,win via score
2682,2,win via score
2683,2,win via score
2684,1,win via score
2685,3,win via score
2686,3,win via score
2687,1,win via score
2688,2,win via score
2689,1,win via score
2690,3,win via score
2691,0,win via score
2692,1,win via score
2693,3,win via score
2694,2,win via score
2695,0,win via score
2696,2,win via score
2697,2,win via score
2698,1,win via score
2699,3,win via score
2700,1,win via score
2701,3,win via score
2702,1,win via score
2703,2,win via score
2704,1,win via score
2705,0,win via score
2706,3,win via score
2707,3,win via score
2708,3,win via score
2709,3,win via score
2710,3,win via score
2711,3,win via score
2712,2,win via score
2713,2,win via score
2714,3,win via score
2715,2,win via score
2716,2,win via score
2717,1,win via score
2718,3,win via score
2719,3,win via score
2720,1,win via score
2721,3,win via score
2722,0,win via score
2723,0,win via score
2724,2,win via score
2725,1,win via score
2726,3,win via score
2727,1,win via score
2728,1,win via score
2729,3,win via score
2730,3,win via score
2731,0,win via score
2732,0,win via score
2733,3,win via score
2734,2,win via score
2735,1,win via score
2736,1,win via score
2737,3,win via score
2738,2,win via score
2739,2,win via score
2740,2,win via score
2741,1,win via score
2742,0,win via score
2743,0,win via score
2744,1,win via elim
2745,1,win via score
2746,2,win via score
2747,1,win via elim
2748,2,win via score
2749,2,win via score
2750,0,win via score
2751,1,win via score
2752,1,win via score
2753,3,win via score
2754,3,win via score
2755,2,win via score
2756,0,win via score
2757,1,win via score
2758,0,win via score
2759,2,win via score
2760,2,win via score
2761,1,win via score
2762,2,win via score
2763,1,win via score
2764,0,win via score
2765,1,win via score
2766,2,win via score
2767,1,win via score
2768,3,win via score
2769,0,win via elim
2770,1,win via score
2771,2,win via score
2772,0,win via score
2773,3,win via score
2774,3,win via score
2775,2,win via score
2776,2,win via score
2777,3,win via score
2778,1,win via score
2779,0,win via score
2780,2,win via score
2781,2,win via score
2782,0,win via score
2783,3,win via score
2784,0,win via score
2785,3,win via score
2786,1,win via score
2787,2,win via score
2788,2,win via score
2789,1,win via score
2790,3,win via score
2791,3,win via score
2792,1,win via score
2793,1,win via score
2794,1,win via score
2795,3,win via score
2796,2,win via score
2797,0,win via elim
2798,1,win via score
2799,3,win via score
2800,1,win via score
2801,2,win via elim
2802,3,win via score
2803,3,win via score
2804,0,win via score
2805,1,win via score
2806,1,win via score
2807,0,win via score
2808,1,win via score
2809,2,win via elim
2810,1,win via score
2811,3,win via score
2812,1,win via score
2813,1,win via score
2814,2,win via score
2815,0,win via score
2816,2,win via score
2817,0,win via score
2818,3,win via score
2819,1,win via score
2820,0,win via score
2821,3,win via score
2822,2,win via score
2823,2,win via score
2824,1,win via score
2825,0,win via score
2826,3,win via score
2827,3,win via score
2828,3,win via score
2829,2,win via elim
2830,2,win via score
2831,3,win via score
2832,0,win via score
2833,2,win via score
2834,1,win via score
2835,2,win via score
2836,3,win via score
2837,1,win via score
2838,1,win via score
2839,3,win via score
2840,3,win via score
2841,3,win via score
2842,2,win via score
2843,0,win via score
2844,3,win via score
2845,0,win via score
2846,2,win via score
2847,1,win via score
2848,3,win via score
2849,1,win via score
2850,2,win via score
2851,1,win via score
2852,0,win via score
2853,2,win via score
2854,0,win via score
2855,0,win via score
2856,0,win via score
2857,3,win via score
2858,0,win via score
2859,2,win via score
2860,2,win via score
2861,2,win via score
2862,1,win via score
2863,3,win via score
2864,0,win via score
2865,0,win via score
2866,1,win via score
2867,2,win via score
2868,2,win via score
2869,1,win via score
2870,0,win via score
2871,3,win via score
2872,0,win via score
2873,2,win via score
2874,2,win via score
2875,0,win via score
2876,0,win via score
2877,2,win via score
2878,2,win via score
2879,1,win via score
2880,2,win via score
2881,1,win via score
2882,3,win via score
2883,2,win via score
2884,1,win via score
2885,3,win via score
2886,0,win via score
2887,1,win via score
2888,2,win via score
2889,2,win via score
2890,3,win via score
2891,0,win via score
2892,2,win via score
2893,1,win via score
2894,1,win via score
2895,1,win via score
2896,0,win via score
2897,3,win via score
2898,0,win via score
2899,1,win via score
2900,2,win via score
2901,1,win via score
2902,1,win via score
2903,3,win via score
2904,1,win via score
2905,1,win via score
2906,0,win via score
2907,3,win via score
2908,3,win via score
2909,1,win via score
2910,0,win via score
2911,3,win via score
2912,0,win via score
2913,1,win via score
2914,3,win via score
2915,1,win via elim
2916,2,win via score
2917,3,win via score
2918,2,win via score
2919,1,win via score
2920,1,win via score
2921,3,win via score
2922,1,win via score
2923,3,win via score
2924,2,win via score
2925,3,win via score
2926,0,win via score
2927,1,win via score
2928,2,win via score
2929,2,win via score
2930,2,win via score
2931,3,win via score
2932,0,win via score
2933,2,win via score
2934,0,win via elim
2935,2,win via score
2936,1,win via score
2937,3,win via score
2938,3,win via score
2939,1,win via score
2940,0,win via score
2941,2,win via score
2942,3,win via score
2943,1,win via score
2944,1,win via score
2945,3,win via elim
2946,0,win via score
2947,2,win via score
2948,2,win via score
2949,1,win via score
2950,2,win via score
2951,2,win via score
2952,0,win via score
2953,2,win via score
2954,1,win via score
2955,1,win via score
2956,2,win via score
2957,0,win via score
2958,3,win via score
2959,2,win via score
2960,1,win via score
2961,3,win via score
2962,3,win via score
2963,0,win via score
2964,0,win via score
2965,1,win via score
2966,3,win via elim
2967,3,win via score
2968,3,win via score
2969,1,win via score
2970,2,win via score
2971,1,win via score
2972,0,win via elim
2973,2,win via score
2974,3,win via score
2975,0,win via score
2976,2,win via score
2977,3,win via score
2978,3,win via score
2979,0,win via score
2980,1,win via score
2981,0,win via score
2982,2,win via score
2983,0,win via score
2984,0,win via score
2985,1,win via score
2986,2,win via score
2987,3,win via score
2988,2,win via score
2989,1,win via score
2990,2,win via score
2991,2,win via score
2992,3,win via score
2993,3,win via score
2994,2,win via score
2995,2,win via score
2996,0,win via score
2997,3,win via score
2998,0,win via score
2999,0,win via score
3000,3,win via score
3001,0,win via score
3002,2,win via score
3003,1,win via score
3004,0,win via score
3005,1,win via score
3006,3,win via score
3007,1,win via score
3008,3,win via score
3009,0,win via score
3010,3,win via score
3011,2,win via score
3012,3,win via score
3013,1,win via score
3014,0,win via score
3015,0,win via score
3016,2,win via score
3017,1,win via score
3018,2,win via score
3019,2,win via score
3020,3,win via score
3021,0,win via score
3022,1,win via score
3023,2,win via score
3024,3,win via score
3025,1,win via score
3026,3,win via score
3027,2,win via elim
3028,1,win via elim
3029,2,win via score
3030,2,win via elim
3031,2,win via score
3032,3,win via score
3033,0,win via score
3034,3,win via score
3035,1,win via score
3036,1,win via score
3037,2,win via elim
3038,0,win via score
3039,2,win via score
3040,3,win via score
3041,2,win via score
3042,1,win via score
3043,0,win via score
3044,1,win via score
3045,1,win via score
3046,2,win via score
3047,0,win via score
3048,2,win via score
3049,0,win via score
3050,2,win via score
3051,1,win via elim
3052,2,win via score
3053,2,win via score
3054,0,win via score
3055,0,win via score
3056,0,win via score
3057,2,win via score
3058,0,win via score
3059,2,win via score
3060,3,win via score
3061,0,win via score
3062,2,win via score
3063,0,win via score
3064,1,win via score
3065,1,win via score
3066,2,win via score
3067,0,win via score
3068,0,win via score
3069,2,win via score
3070,0,win via score
3071,2,win via score
3072,3,win via score
3073,0,win via score
3074,2,win via score
3075,1,win via score
3076,2,win via score
3077,2,win via score
3078,1,win via score
3079,1,win via score
3080,0,win via score
3081,0,win via score
3082,0,win via score
3083,3,win via score
3084,3,win via score
3085,3,win via score
3086,3,win via score
3087,1,win via score
3088,0,win via score
3089,3,win via score
3090,0,win via score
3091,3,win via elim
3092,1,win via score
3093,0,win via score
3094,3,win via score
3095,0,win via score
3096,3,win via score
3097,1,win via score
3098,0,win via score
3099,2,win via score
3100,0,win via score
3101,0,win via score
3102,0,win via score
3103,0,win via score
3104,1,win via score
3105,1,win via score
3106,1,win via score
3107,0,win via score
3108,3,win via score
3109,3,win via score
3110,2,win via score
3111,3,win via score
3112,3,win via score
3113,0,win via score
3114,2,win via score
3115,2,win via score
3116,0,win via score
3117,0,win via score
3118,3,win via score
3119,2,win via score
3120,3,win via score
3121,0,win via score
3122,3,win via score
3123,1,win via score
3124,3,win via elim
3125,0,win via score
3126,1,win via score
3127,1,win via score
3128,1,win via score
3129,0,win via score
3130,3,win via score
3131,1,win via score
3132,1,win via score
3133,0,win via score
3134,2,win via score
3135,1,win via score
3136,2,win via score
3137,1,win via score
3138,1,win via score
3139,3,win via score
3140,2,win via score
3141,1,win via score
3142,1,win via score
3143,1,win via score
3144,0,win via score
3145,0,win via score
3146,1,win via score
3147,2,win via score
3148,2,win via score
3149,2,win via score
3150,2,win via score
3151,2,win via score
3152,0,win via score
3153,3,win via score
3154,3,win via score
3155,2,win via score
3156,3,win via score
3157,3,win via score
3158,0,win via score
3159,1,win via score
3160,2,win via score
3161,1,win via score
3162,3,win via score
3163,3,win via score
3164,2,win via score
3165,2,win via score
3166,0,win via score
3167,1,win via score
3168,3,win via score
3169,1,win via score
3170,0,win via score
3171,0,win via score
3172,3,win via score
3173,0,win via score
3174,3,win via score
3175,2,win via elim
3176,0,win via score
3177,1,win via score
3178,3,win via score
3179,3,win via score
3180,1,win via score
3181,3,win via score
3182,2,win via elim
3183,1,win via score
3184,2,win via score
3185,2,win via score
3186,3,win via score
3187,3,win via score
3188,0,win via score
3189,2,win via score
3190,0,win via score
3191,2,win via score
3192,2,win via score
3193,3,win via score
3194,3,win via score
3195,3,win via score
3196,1,win via score
3197,3,win via score
3198,2,win via score
3199,2,win via score
3200,2,win via score
3201,2,win via score
3202,3,win via elim
3203,0,win via score
3204,3,win via score
3205,1,win via score
3206,0,win via score
3207,3,win via score
3208,0,win via score
3209,2,win via score
3210,3,win via score
3211,3,win via score
3212,1,win via score
3213,3,win via score
3214,0,win via score
3215,2,win via elim
3216,1,win via score
3217,2,win via score
3218,3,win via score
3219,2,win via score
3220,3,win via score
3221,0,win via elim
3222,3,win via score
3223,3,win via score
3224,2,win via score
3225,3,win via score
3226,1,win via score
3227,1,win via score
3228,3,win via score
3229,1,win via score
3230,2,win via score
3231,0,win via score
3232,0,win via score
3233,3,win via elim
3234,2,win via score
3235,0,win via score
3236,0,win via score
3237,0,win via score
3238,0,win via score
3239,2,win via score
3240,1,win via score
3241,1,win via score
3242,2,win via score
3243,1,win via score
3244,2,win via score
3245,2,win via score
3246,3,win via score
3247,1,win via elim
3248,2,win via score
3249,0,win via score
3250,0,win via score
3251,0,win via score
3252,0,win via score
3253,2,win via score
3254,0,win via score
3255,0,win via score
3256,1,win via score
3257,3,win via score
3258,3,win via score
3259,2,win via score
3260,0,win via score
3261,3,win via score
3262,0,win via score
3263,0,win via score
3264,2,win via score
3265,1,win via score
3266,3,win via score
3267,2,win via elim
3268,2,win via score
3269,1,win via score
3270,1,win via score
3271,3,win via score
3272,0,win via score
3273,2,win via score
3274,3,win via score
3275,1,win via score
3276,2,win via score
3277,0,win via score
3278,2,win via score
3279,3,win via score
3280,3,win via score
3281,0,win via score
3282,2,win via score
3283,3,win via score
3284,0,win via score
3285,1,win via score
3286,1,win via score
3287,2,win via score
3288,0,win via score
3289,2,win via score
3290,2,win via score
3291,3,win via score
3292,3,win via score
3293,3,win via score
3294,3,win via elim
3295,0,win via score
3296,1,win via score
3297,3,win via score
3298,2,win via score
3299,2,win via score
3300,0,win via score
3301,0,win via score
3302,1,win via score
3303,2,win via score
3304,1,win via score
3305,0,win via score
3306,3,win via score
3307,0,win via score
3308,1,win via score
3309,1,win via score
3310,0,win via score
3311,1,win via score
3312,3,win via score
3313,2,win via score
3314,1,win via score
3315,0,win via score
3316,2,win via score
3317,3,win via score
3318,0,win via score
3319,0,win via score
3320,2,win via score
3321,2,win via score
3322,1,win via score
3323,2,win via score
3324,1,win via score
3325,2,win via score
3326,1,win via score
3327,3,win via score
3328,0,win via score
3329,3,win via score
3330,2,win via score
3331,3,win via score
3332,3,win via score
3333,2,win via score
3334,2,win via score
3335,1,win via elim
3336,1,win via score
3337,2,win via score
3338,1,win via score
3339,3,win via score
3340,1,win via score
3341,2,win via score
3342,2,win via score
3343,0,win via score
3344,1,win via score
3345,2,win via score
3346,3,win via score
3347,1,win via score
3348,3,win via score
3349,2,win via score
3350,1,win via score
3351,2,win via score
3352,1,win via score
3353,1,win via score
3354,1,win via score
3355,3,win via score
3356,1,win via elim
3357,2,win via score
3358,2,win via score
3359,1,win via score
3360,3,win via score
3361,2,win via score
3362,3,win via score
3363,2,win via score
3364,1,win via score
3365,1,win via score
3366,1,win via score
3367,2,win via score
3368,2,win via score
3369,3,win via score
3370,0,win via elim
3371,3,win via score
3372,3,win via score
3373,3,win via score
3374,0,win via score
3375,2,win via score
3376,0,win via score
3377,0,win via score
3378,3,win via score
3379,1,win via score
3380,3,win via score
3381,0,win via score
3382,3,win via score
3383,2,win via score
3384,1,win via score
3385,0,win via score
3386,3,win via score
3387,3,win via score
3388,3,win via score
3389,0,win via score
3390,0,win via score
3391,3,win via score
3392,1,win via score
3393,3,win via score
3394,0,win via score
3395,1,win via score
3396,2,win via score
3397,1,win via score
3398,1,win via score
3399,1,win via score
3400,1,win via score
3401,3,win via score
3402,1,win via elim
3403,2,win via score
3404,0,win via elim
3405,2,win via score
3406,1,win via score
3407,3,win via score
3408,2,win via score
3409,0,win via score
3410,0,win via score
3411,2,win via score
3412,2,win via score
3413,0,win via score
3414,3,win via score
3415,1,win via score
3416,1,win via score
3417,1,win via score
3418,2,win via score
3419,1,win via score
3420,0,win via score
3421,1,win via score
3422,3,win via score
3423,2,win via score
3424,1,win via score
3425,1,win via score
3426,2,win via score
3427,3,win via score
3428,3,win via score
3429,0,win via score
3430,2,win via score
3431,2,win via score
3432,0,win via score
3433,0,win via score
3434,0,win via score
3435,3,win via score
3436,1,win via score
3437,2,win via score
3438,1,win via score
3439,1,win via score
3440,2,win via score
3441,2,win via score
3442,1,win via elim
3443,2,win via score
3444,3,win via score
3445,3,win via score
3446,2,win via score
3447,3,win via score
3448,3,win via score
3449,2,win via score
3450,0,win via score
3451,2,win via score
3452,2,win via score
3453,3,win via score
3454,0,win via elim
3455,0,win via score
3456,1,win via score
3457,0,win via score
3458,2,win via score
3459,2,win via score
3460,2,win via score
3461,0,win via score
3462,0,win via score
3463,0,win via score
3464,2,win via score
3465,0,win via score
3466,0,win via score
3467,1,win via score
3468,0,win via score
3469,2,win via score
3470,2,win via score
3471,0,win via score
3472,2,win via score
3473,0,win via score
3474,0,win via score
3475,0,win via score
3476,0,win via score
3477,3,win via score
3478,1,win via score
3479,0,win via score
3480,0,win via score
3481,1,win via score
3482,0,win via elim
3483,2,win via score
3484,3,win via score
3485,1,win via score
3486,2,win via score
3487,0,win via score
3488,3,win via score
3489,1,win via score
3490,3,win via score
3491,2,win via score
3492,0,win via score
3493,2,win via score
3494,3,win via score
3495,3,win via score
3496,0,win via score
3497,0,win via score
3498,2,win via score
3499,0,win via score
3500,3,win via score
3501,2,win via score
3502,3,win via score
3503,0,win via score
3504,2,win via score
3505,3,win via score
3506,3,win via score
3507,0,win via score
3508,2,win via score
3509,2,win via score
3510,3,win via score
3511,0,win via score
3512,2,win via score
3513,2,win via score
3514,2,win via score
3515,2,win via score
3516,1,win via score
3517,0,win via score
3518,1,win via score
3519,2,win via score
3520,2,win via score
3521,1,win via score
3522,1,win via score
3523,3,win via score
3524,1,win via score
3525,1,win via score
3526,1,win via score
3527,2,win via score
3528,2,win via score
3529,2,win via score
3530,3,win via score
3531,3,win via score
3532,2,win via score
3533,0,win via score
3534,3,win via score
3535,0,win via score
3536,3,win via score
3537,2,win via score
3538,0,win via score
3539,0,win via score
3540,3,win via elim
3541,3,win via score
3542,0,win via score
3543,1,win via score
3544,0,win via score
3545,1,win via score
3546,2,win via score
3547,2,win via score
3548,3,win via score
3549,1,win via score
3550,2,win via score
3551,3,win via score
3552,2,win via score
3553,0,win via score
3554,3,win via score
3555,1,win via elim
3556,3,win via elim
3557,2,win via score
3558,1,win via score
3559,2,win via score
3560,1,win via score
3561,1,win via score
3562,3,win via score
3563,1,win via score
3564,3,win via score
3565,0,win via score
3566,0,win via score
3567,1,win via score
3568,0,win via score
3569,3,win via score
3570,2,win via score
3571,3,win via score
3572,3,win via score
3573,0,win via score
3574,2,win via score
3575,1,win via score
3576,0,win via score
3577,2,win via score
3578,2,win via score
3579,3,win via elim
3580,3,win via score
3581,0,win via score
3582,0,win via score
3583,2,win via score
3584,1,win via score
3585,2,win via score
3586,1,win via score
3587,1,win via score
3588,1,win via score
3589,3,win via score
3590,2,win via score
3591,2,win via score
3592,2,win via score
3593,3,win via score
3594,1,win via score
3595,0,win via score
3596,2,win via score
3597,3,win via score
3598,1,win via score
3599,0,win via score
3600,1,win via score
3601,2,win via score
3602,3,win via score
3603,0,win via score
3604,3,win via score
3605,2,win via score
3606,0,win via score
3607,0,win via score
3608,2,win via score
3609,0,win via score
3610,1,win via score
3611,1,win via score
3612,0,win via score
3613,0,win via score
3614,0,win via score
3615,2,win via score
3616,2,win via elim
3617,2,win via score
3618,1,win via score
3619,3,win via score
3620,3,win via score
3621,2,win via score
3622,3,win via score
3623,0,win via score
3624,1,win via score
3625,1,win via score
3626,0,win via score
3627,1,win via score
3628,0,win via score
3629,3,win via score
3630,3,win via score
3631,0,win via score
3632,1,win via score
3633,3,win via score
3634,3,win via score
3635,0,win via score
3636,3,win via score
3637,1,win via score
3638,0,win via score
3639,3,win via score
3640,3,win via score
3641,0,win via score
3642,0,win via score
3643,2,win via score
3644,0,win via score
3645,1,win via elim
3646,3,win via score
3647,1,win via score
3648,3,win via score
3649,3,win via score
3650,0,win via score
3651,1,win via elim
3652,3,win via score
3653,1,win via score
3654,2,win via score
3655,3,win via score
3656,3,win via score
3657,0,win via score
3658,3,win via score
3659,0,win via score
3660,3,win via score
3661,1,win via score
3662,3,win via score
3663,1,win via score
3664,1,win via score
3665,3,win via score
3666,2,win via score
3667,0,win via score
3668,2,win via score
3669,1,win via score
3670,1,win via score
3671,1,win via score
3672,0,win via score
3673,2,win via elim
3674,2,win via score
3675,1,win via score
3676,2,win via elim
3677,2,win via score
3678,3,win via score
3679,0,win via score
3680,0,win via score
3681,1,win via score
3682,2,win via score
3683,1,win via score
3684,2,win via score
3685,3,win via score
3686,2,win via score
3687,2,win via score
3688,1,win via score
3689,2,win via elim
3690,1,win via score
3691,3,win via score
3692,1,win via score
3693,2,win via score
3694,1,win via score
3695,3,win via score
3696,1,win via score
3697,2,win via score
3698,3,win via score
3699,2,win via score
3700,3,win via score
3701,3,win via score
3702,2,win via score
3703,0,win via score
3704,3,win via score
3705,0,win via score
3706,1,win via elim
3707,1,win via score
3708,1,win via score
3709,2,win via score
3710,1,win via score
3711,2,win via score
3712,1,win via score
3713,1,win via score
3714,2,win via score
3715,1,win via score
3716,3,win via score
3717,0,win via score
3718,0,win via score
3719,3,win via score
3720,0,win via score
3721,2,win via score
3722,1,win via score
3723,0,win via score
3724,3,win via score
3725,0,win via score
3726,0,win via score
3727,0,win via score
3728,2,win via score
3729,3,win via score
3730,3,win via score
3731,0,win via score
3732,0,win via score
3733,0,win via score
3734,2,win via score
3735,2,win via score
3736,2,win via score
3737,2,win via score
3738,1,win via score
3739,2,win via score
3740,1,win via score
3741,3,win via score
3742,0,win via elim
3743,3,win via score
3744,2,win via score
3745,1,win via score
3746,2,win via score
3747,3,win via score
3748,1,win via score
3749,0,win via score
3750,3,win via score
3751,1,win via score
3752,3,win via score
3753,0,win via score
3754,0,win via score
3755,2,win via score
3756,3,win via score
3757,3,win via score
3758,0,win via score
3759,0,win via score
3760,2,win via score
3761,1,win via score
3762,1,win via score
3763,1,win via score
3764,2,win via score
3765,0,win via score
3766,2,win via score
3767,3,win via score
3768,3,win via score
3769,1,win via score
3770,2,win via score
3771,2,win via elim
3772,1,win via score
3773,1,win via score
3774,1,win via score
3775,1,win via score
3776,3,win via score
3777,0,win via score
3778,1,win via score
3779,0,win via score
3780,1,win via score
3781,3,win via elim
3782,0,win via score
3783,3,win via score
3784,0,win via score
3785,3,win via score
3786,3,win via score
3787,3,win via score
3788,3,win via score
3789,0,win via score
3790,0,win via score
3791,1,win via score
3792,0,win via score
3793,2,win via elim
3794,2,win via score
3795,1,win via score
3796,0,win via score
3797,3,win via score
3798,1,win via score
3799,2,win via score
3800,0,win via score
3801,0,win via elim
3802,2,win via score
3803,0,win via score
3804,2,win via elim
3805,2,win via score
3806,1,win via score
3807,2,win via score
3808,0,win via score
3809,3,win via score
3810,2,win via score
3811,3,win via score
3812,2,win via score
3813,3,win via score
3814,2,win via score
3815,1,win via score
3816,2,win via score
3817,0,win via score
3818,1,win via elim
3819,2,win via score
3820,2,win via score
3821,1,win via score
3822,0,win via score
3823,1,win via score
3824,0,win via score
3825,3,win via score
3826,2,win via score
3827,0,win via score
3828,1,win via elim
3829,2,win via score
3830,3,win via score
3831,2,win via score
3832,1,win via score
3833,3,win via score
3834,1,win via score
3835,0,win via score
3836,0,win via score
3837,1,win via score
3838,3,win via score
3839,0,win via score
3840,3,win via score
3841,3,win via score
3842,3,win via score
3843,3,win via score
3844,0,win via score
3845,3,win via score
3846,0,win via score
3847,3,win via score
3848,2,win via score
3849,1,win via score
3850,1,win via score
3851,3,win via score
3852,2,win via score
3853,1,win via score
3854,0,win via score
3855,1,win via score
3856,3,win via score
3857,0,win via score
3858,1,win via score
3859,1,win via score
3860,1,win via score
3861,3,win via elim
3862,1,win via score
3863,3,win via score
3864,0,win via score
3865,1,win via score
3866,2,win via score
3867,0,win via score
3868,2,win via score
3869,0,win via score
3870,0,win via score
3871,2,win via score
3872,3,win via score
3873,2,win via score
3874,2,win via score
