,player,result
397,1,win via score
398,0,win via score
399,0,win via score
400,1,win via score
401,0,win via score
402,1,win via score
403,0,win via score
404,1,win via elim
405,0,win via score
406,1,win via score
407,0,win via score
408,1,win via score
409,3,win via score
410,2,win via score
411,2,win via elim
412,1,win via score
413,2,win via score
414,1,win via score
415,1,win via score
416,0,win via score
417,1,win via score
418,1,win via score
419,2,win via score
420,2,win via score
421,3,win via score
422,1,win via score
423,3,win via score
424,1,win via score
425,0,win via score
426,1,win via score
427,2,win via score
428,1,win via score
429,0,win via score
430,3,win via score
431,3,win via score
432,1,win via score
433,3,win via score
434,1,win via score
435,3,win via score
436,1,win via score
437,1,win via score
438,2,win via score
439,0,win via score
440,3,win via score
441,0,win via score
442,3,win via score
443,2,win via score
444,0,win via score
445,2,win via score
446,2,win via score
447,1,win via score
448,1,win via score
449,2,win via score
450,2,win via score
451,1,win via score
452,0,win via score
453,2,win via score
454,2,win via score
455,1,win via score
456,2,win via score
457,2,win via score
458,0,win via elim
459,1,win via score
460,1,win via score
461,0,win via score
462,2,win via score
463,3,win via score
464,2,win via score
465,3,win via score
466,0,win via score
467,0,win via score
468,3,win via score
469,0,win via score
470,0,win via score
471,3,win via score
472,2,win via elim
473,0,win via score
474,2,win via score
475,2,win via score
476,2,win via score
477,0,win via score
478,3,win via score
479,3,win via score
480,3,win via score
481,0,win via score
482,0,win via elim
483,0,win via score
484,2,win via score
485,3,win via score
486,1,win via score
487,2,win via score
488,3,win via score
489,1,win via score
490,1,win via score
491,3,win via score
492,2,win via score
493,0,win via score
494,1,win via score
495,2,win via score
496,3,win via score
497,1,win via score
498,2,win via score
499,1,win via score
500,3,win via score
501,0,win via score
502,1,win via score
503,1,win via score
504,1,win via elim
505,1,win via score
506,1,win via score
507,1,win via score
508,3,win via score
509,3,win via score
510,0,win via score
511,0,win via score
512,2,win via elim
513,3,win via score
514,0,win via score
515,3,win via score
516,3,win via score
517,0,win via score
518,0,win via score
519,3,win via score
520,0,win via score
521,3,win via score
522,3,win via score
523,0,win via score
524,0,win via score
