,skull_factor,raise_thershold,win_count_score,win_count_elim
0,-0.5,0.0,3689.0,1.0
1,-0.5,0.1111111111111111,3862.0,0.0
2,-0.5,0.2222222222222222,4308.0,6.0
3,-0.5,0.3333333333333333,4450.0,13.0
4,-0.5,0.4444444444444444,4713.0,17.0
5,-0.5,0.5555555555555556,5012.0,29.0
6,-0.5,0.6666666666666666,5064.0,47.0
7,-0.5,0.7777777777777777,5032.0,81.0
8,-0.5,0.8888888888888888,4740.0,98.0
9,-0.5,1.0,4322.0,117.0
10,-0.1111111111111111,0.0,3208.0,1.0
11,-0.1111111111111111,0.1111111111111111,3449.0,2.0
12,-0.1111111111111111,0.2222222222222222,3745.0,3.0
13,-0.1111111111111111,0.3333333333333333,3994.0,15.0
14,-0.1111111111111111,0.4444444444444444,4370.0,19.0
15,-0.1111111111111111,0.5555555555555556,4547.0,40.0
16,-0.1111111111111111,0.6666666666666666,4697.0,66.0
17,-0.1111111111111111,0.7777777777777777,4592.0,96.0
18,-0.1111111111111111,0.8888888888888888,4346.0,124.0
19,-0.1111111111111111,1.0,3872.0,163.0
20,0.2777777777777778,0.0,2814.0,1.0
21,0.2777777777777778,0.1111111111111111,3106.0,2.0
22,0.2777777777777778,0.2222222222222222,3422.0,6.0
23,0.2777777777777778,0.3333333333333333,3645.0,12.0
24,0.2777777777777778,0.4444444444444444,4034.0,36.0
25,0.2777777777777778,0.5555555555555556,4309.0,66.0
26,0.2777777777777778,0.6666666666666666,4275.0,95.0
27,0.2777777777777778,0.7777777777777777,4322.0,154.0
28,0.2777777777777778,0.8888888888888888,4043.0,169.0
29,0.2777777777777778,1.0,3670.0,191.0
30,0.6666666666666667,0.0,2604.0,0.0
31,0.6666666666666667,0.1111111111111111,2854.0,2.0
32,0.6666666666666667,0.2222222222222222,3134.0,6.0
33,0.6666666666666667,0.3333333333333333,3461.0,18.0
34,0.6666666666666667,0.4444444444444444,3782.0,33.0
35,0.6666666666666667,0.5555555555555556,3997.0,58.0
36,0.6666666666666667,0.6666666666666666,4047.0,102.0
37,0.6666666666666667,0.7777777777777777,4065.0,157.0
38,0.6666666666666667,0.8888888888888888,3826.0,200.0
39,0.6666666666666667,1.0,3355.0,214.0
40,1.0555555555555556,0.0,2514.0,1.0
41,1.0555555555555556,0.1111111111111111,2669.0,2.0
42,1.0555555555555556,0.2222222222222222,2960.0,10.0
43,1.0555555555555556,0.3333333333333333,3269.0,21.0
44,1.0555555555555556,0.4444444444444444,3630.0,46.0
45,1.0555555555555556,0.5555555555555556,3880.0,66.0
46,1.0555555555555556,0.6666666666666666,3871.0,115.0
47,1.0555555555555556,0.7777777777777777,3960.0,177.0
48,1.0555555555555556,0.8888888888888888,3610.0,249.0
49,1.0555555555555556,1.0,3157.0,294.0
50,1.4444444444444444,0.0,2402.0,1.0
51,1.4444444444444444,0.1111111111111111,2527.0,2.0
52,1.4444444444444444,0.2222222222222222,2813.0,7.0
53,1.4444444444444444,0.3333333333333333,3134.0,13.0
54,1.4444444444444444,0.4444444444444444,3431.0,33.0
55,1.4444444444444444,0.5555555555555556,3673.0,77.0
56,1.4444444444444444,0.6666666666666666,3778.0,126.0
57,1.4444444444444444,0.7777777777777777,3816.0,185.0
58,1.4444444444444444,0.8888888888888888,3543.0,243.0
59,1.4444444444444444,1.0,2941.0,274.0
60,1.8333333333333335,0.0,2205.0,1.0
61,1.8333333333333335,0.1111111111111111,2454.0,4.0
62,1.8333333333333335,0.2222222222222222,2685.0,6.0
63,1.8333333333333335,0.3333333333333333,3075.0,21.0
64,1.8333333333333335,0.4444444444444444,3277.0,46.0
65,1.8333333333333335,0.5555555555555556,3492.0,94.0
66,1.8333333333333335,0.6666666666666666,3782.0,151.0
67,1.8333333333333335,0.7777777777777777,3648.0,233.0
68,1.8333333333333335,0.8888888888888888,3375.0,296.0
69,1.8333333333333335,1.0,2892.0,331.0
70,2.2222222222222223,0.0,2119.0,0.0
71,2.2222222222222223,0.1111111111111111,2428.0,2.0
72,2.2222222222222223,0.2222222222222222,2634.0,6.0
73,2.2222222222222223,0.3333333333333333,2931.0,26.0
74,2.2222222222222223,0.4444444444444444,3251.0,45.0
75,2.2222222222222223,0.5555555555555556,3448.0,76.0
76,2.2222222222222223,0.6666666666666666,3649.0,128.0
77,2.2222222222222223,0.7777777777777777,3545.0,238.0
78,2.2222222222222223,0.8888888888888888,3268.0,299.0
79,2.2222222222222223,1.0,2783.0,346.0
80,2.611111111111111,0.0,2012.0,2.0
81,2.611111111111111,0.1111111111111111,2295.0,5.0
82,2.611111111111111,0.2222222222222222,2563.0,6.0
83,2.611111111111111,0.3333333333333333,2848.0,26.0
84,2.611111111111111,0.4444444444444444,3149.0,48.0
85,2.611111111111111,0.5555555555555556,3489.0,104.0
86,2.611111111111111,0.6666666666666666,3450.0,167.0
87,2.611111111111111,0.7777777777777777,3450.0,214.0
88,2.611111111111111,0.8888888888888888,3183.0,301.0
89,2.611111111111111,1.0,2726.0,371.0
90,3.0,0.0,1974.0,1.0
91,3.0,0.1111111111111111,2188.0,6.0
92,3.0,0.2222222222222222,2531.0,8.0
93,3.0,0.3333333333333333,2748.0,19.0
94,3.0,0.4444444444444444,3053.0,63.0
95,3.0,0.5555555555555556,3332.0,98.0
96,3.0,0.6666666666666666,3468.0,153.0
97,3.0,0.7777777777777777,3417.0,255.0
98,3.0,0.8888888888888888,3128.0,333.0
99,3.0,1.0,2575.0,380.0
