,player_type,player,result
0,approx q learning,0,win via score
1,"smart 2: 0, 0.6",3,win via score
2,approx q learning,0,win via score
3,"smart 2: 2, 0.6",2,win via score
4,approx q learning,0,win via elim
5,"smart 2: 0, 0.6",3,win via score
6,"smart 2: 0, 0.6",3,win via score
7,approx q learning,0,win via score
8,"smart 2: 0, 0.4",1,win via score
9,approx q learning,0,win via elim
10,"smart 2: 0, 0.4",1,win via score
11,"smart 2: 0, 0.6",3,win via score
12,approx q learning,0,win via score
13,"smart 2: 2, 0.6",2,win via score
14,approx q learning,0,win via score
15,"smart 2: 0, 0.6",3,win via elim
16,"smart 2: 2, 0.6",2,win via score
17,"smart 2: 2, 0.6",2,win via score
18,approx q learning,0,win via score
19,"smart 2: 0, 0.6",3,win via score
20,"smart 2: 2, 0.6",2,win via score
21,"smart 2: 2, 0.6",2,win via score
22,"smart 2: 2, 0.6",2,win via score
23,"smart 2: 0, 0.4",1,win via score
24,approx q learning,0,win via elim
25,"smart 2: 0, 0.6",3,win via score
26,approx q learning,0,win via score
27,approx q learning,0,win via score
28,"smart 2: 0, 0.4",1,win via score
29,approx q learning,0,win via elim
30,"smart 2: 2, 0.6",2,win via elim
31,"smart 2: 0, 0.4",1,win via score
32,approx q learning,0,win via score
33,"smart 2: 0, 0.4",1,win via score
34,"smart 2: 2, 0.6",2,win via score
35,"smart 2: 0, 0.4",1,win via score
36,"smart 2: 2, 0.6",2,win via score
37,approx q learning,0,win via score
38,"smart 2: 2, 0.6",2,win via score
39,"smart 2: 0, 0.6",3,win via score
40,"smart 2: 0, 0.4",1,win via elim
41,"smart 2: 2, 0.6",2,win via score
42,"smart 2: 2, 0.6",2,win via elim
43,"smart 2: 0, 0.6",3,win via score
44,approx q learning,0,win via score
45,approx q learning,0,win via score
46,"smart 2: 0, 0.6",3,win via score
47,"smart 2: 2, 0.6",2,win via score
48,"smart 2: 0, 0.6",3,win via score
49,"smart 2: 0, 0.4",1,win via score
50,approx q learning,0,win via elim
51,"smart 2: 2, 0.6",2,win via score
52,"smart 2: 0, 0.6",3,win via score
53,"smart 2: 0, 0.6",3,win via score
54,"smart 2: 0, 0.4",1,win via score
55,approx q learning,0,win via score
