,eps_num,w_diff,result
147,147.0,6.7533238576108e+57,other player skull
148,148.0,2.18061874186879e+58,attempt loss
149,149.0,1.2452304763423075e+59,attempt won
150,150.0,5.485038795113911e+58,other player no skull
151,151.0,4.662282975846826e+59,other player no skull
152,152.0,1.2504557555389771e+60,other player skull
153,153.0,8.232753587129085e+60,other player skull
154,154.0,1.935269231180228e+60,other player no skull
155,155.0,3.036124569720928e+61,other player no skull
156,156.0,6.847092501883444e+60,0.0
157,157.0,1.2801616267368883e+62,attempt loss
158,158.0,1.088137382726355e+63,attempt loss
159,159.0,2.744173147362054e+62,other player skull
160,160.0,1.038630878156224e+62,0.0
161,161.0,2.0140743448483175e+62,0.0
162,162.0,2.351945512232249e+62,other player no skull
163,163.0,5.587192020351779e+62,other player skull
164,164.0,1.1174384040703558e+63,other player skull
165,165.0,1.4228064664942768e+63,0.0
166,166.0,2.18604836886949e+64,other player no skull
167,167.0,5.155582231240487e+63,0.0
168,168.0,2.382627524029312e+65,attempt loss
169,169.0,7.083291382445387e+65,0.0
170,170.0,1.9827263566799544e+67,attempt loss
171,171.0,1.1081797616590283e+65,other player skull
172,172.0,2.9885369067207446e+66,other player no skull
173,173.0,1.3312652265840005e+67,other player skull
174,174.0,5.26167795283406e+67,other player no skull
175,175.0,1.624420361720695e+68,attempt loss
176,176.0,7.760127764599006e+68,other player no skull
177,177.0,4.955597871037751e+68,other player no skull
178,178.0,8.121171469627266e+69,other player no skull
179,179.0,1.4700489256082888e+69,0.0
180,180.0,3.4789323458259544e+70,attempt loss
181,181.0,3.485311651859542e+71,other player no skull
182,182.0,2.9127599017455726e+70,0.0
183,183.0,1.889569310795694e+71,other player skull
184,184.0,1.1619758233829815e+72,other player skull
185,185.0,9.342662832153783e+72,other player no skull
186,186.0,2.7446709282777707e+72,attempt loss
187,187.0,1.0608004986553896e+73,attempt loss
188,188.0,3.106850459436758e+73,other player no skull
189,189.0,1.2594466485300608e+74,other player skull
190,190.0,6.158574523547038e+73,other player no skull
191,191.0,1.2575391328792942e+75,other player skull
192,192.0,6.667858031473553e+74,other player no skull
193,193.0,5.638900546330913e+75,attempt won
194,194.0,1.1509069899098388e+76,other player no skull
195,195.0,7.037175525286549e+75,0.0
196,196.0,2.1111526575859638e+76,other player no skull
197,197.0,3.708270344724108e+76,other player no skull
198,198.0,2.978739411821634e+77,attempt loss
199,199.0,1.6489412546836142e+77,other player no skull
200,200.0,1.401600066481072e+78,other player no skull
201,201.0,8.530587283065053e+77,0.0
202,202.0,2.3601100690265155e+79,other player no skull
203,203.0,2.27225361443431e+80,other player no skull
204,204.0,2.0153749291876276e+79,other player no skull
205,205.0,8.418602753219466e+79,other player skull
206,206.0,5.892762033473078e+80,other player skull
207,207.0,5.0088477284521165e+81,other player skull
208,208.0,1.030028532043733e+81,other player skull
209,209.0,2.1024334816577238e+80,0.0
210,210.0,1.174255797451447e+82,attempt loss
211,211.0,4.0299280728552223e+82,attempt won
212,212.0,4.2718920562712536e+83,other player skull
213,213.0,5.920888537152543e+82,0.0
214,214.0,2.0985647062703408e+82,0.0
215,215.0,1.9580126131484227e+84,attempt loss
216,216.0,2.3918575697758114e+85,other player no skull
217,217.0,6.418777345431678e+84,other player skull
218,218.0,5.8426188808862986e+85,other player skull
219,219.0,2.9476389017940925e+85,0.0
220,220.0,8.206088519340723e+86,attempt loss
221,221.0,5.111147296339891e+87,attempt won
222,222.0,4.9643559172024195e+86,other player skull
223,223.0,1.0819751480898805e+88,other player skull
224,224.0,3.722677134596394e+88,attempt loss
225,225.0,2.0864807487458597e+89,other player no skull
226,226.0,1.5346083804710805e+88,0.0
227,227.0,1.4586283784238884e+88,other player no skull
228,228.0,2.917256756847777e+88,other player no skull
229,229.0,1.679983107387438e+89,other player no skull
230,230.0,1.0231869899009847e+90,other player no skull
231,231.0,5.676619194542445e+90,other player skull
232,232.0,1.633976446708197e+90,other player skull
233,233.0,9.952521471037266e+90,other player no skull
234,234.0,4.154865835444986e+91,other player no skull
235,235.0,3.6159331092546855e+91,0.0
236,236.0,1.9438317565026993e+91,other player no skull
237,237.0,2.573257431867028e+91,other player no skull
238,238.0,7.315027659815602e+91,attempt loss
239,239.0,7.995304848223335e+91,other player skull
240,240.0,2.6337934602177114e+92,other player no skull
241,241.0,1.533556258374963e+92,other player no skull
242,242.0,1.4580717738350908e+92,attempt loss
243,243.0,1.3751434611172147e+92,attempt won
244,244.0,8.725338739619425e+92,other player no skull
245,245.0,1.8458065054059137e+93,other player no skull
246,246.0,5.171507705517123e+92,0.0
247,247.0,7.942875045690311e+93,other player no skull
248,248.0,4.53964807810342e+93,other player skull
249,249.0,2.7237888468620524e+94,other player skull
250,250.0,5.245455428135825e+93,0.0
251,251.0,7.9293194460615145e+93,other player no skull
252,252.0,6.919974905591117e+93,0.0
253,253.0,3.517290843532101e+93,other player no skull
254,254.0,9.009204024522439e+93,other player no skull
255,255.0,1.3378256047966767e+94,other player skull
256,256.0,7.454498437618738e+94,other player no skull
257,257.0,1.52587520335403e+95,other player no skull
258,258.0,8.283915513683966e+95,attempt loss
259,259.0,5.644005716629775e+95,other player skull
260,260.0,7.662465273535793e+96,other player no skull
261,261.0,6.029926800724463e+96,attempt won
262,262.0,1.008715374901824e+97,0.0
263,263.0,2.4402122334476654e+98,attempt loss
264,264.0,5.016088132302664e+96,0.0
265,265.0,1.5048264396907997e+96,0.0
266,266.0,4.514479319072395e+96,other player skull
267,267.0,3.627807195608258e+97,other player skull
268,268.0,2.1450501902505433e+98,other player no skull
269,269.0,2.7194391594719822e+98,0.0
270,270.0,9.6958791066466e+98,other player skull
271,271.0,3.999464301556153e+99,other player skull
272,272.0,3.4423516242935966e+98,attempt loss
273,273.0,4.005146278932417e+97,attempt won
274,274.0,3.019475174689131e+98,other player skull
275,275.0,1.2122849972833768e+99,0.0
276,276.0,5.3169773227436094e+100,other player skull
277,277.0,8.771881086018258e+101,attempt loss
278,278.0,6.0147154239198335e+100,other player no skull
279,279.0,6.628104325505107e+101,other player skull
280,280.0,7.575597206230352e+102,other player no skull
281,281.0,4.676956464149731e+103,other player skull
282,282.0,3.8944979287607874e+102,other player skull
283,283.0,1.5811587545385811e+103,other player no skull
284,284.0,9.36302757271133e+103,other player no skull
285,285.0,7.550249316257239e+104,attempt loss
286,286.0,1.760013023008656e+104,0.0
287,287.0,2.148505608590695e+105,other player no skull
288,288.0,1.225079215174542e+105,0.0
289,289.0,3.3261000568106787e+106,other player no skull
290,290.0,2.2982036562471804e+107,other player no skull
291,291.0,8.823436069861432e+105,attempt loss
292,292.0,1.5038988416661015e+106,0.0
293,293.0,4.743739979264694e+107,attempt loss
294,294.0,5.917808657080774e+107,other player no skull
295,295.0,3.517491170795939e+107,0.0
296,296.0,1.986642035932919e+107,other player no skull
297,297.0,3.973284071865838e+107,other player no skull
298,298.0,1.3863116319400574e+108,other player no skull
299,299.0,2.0585234703573069e+108,other player no skull
300,300.0,4.250275968389124e+109,other player no skull
301,301.0,2.0661213115447843e+109,other player skull
302,302.0,1.2801760066329797e+110,other player no skull
