,player_type,player,result
814,"smart 2: 0, 0.4",1,win via score
815,"smart 2: 0, 0.6",3,win via score
816,approx q learning,0,win via score
817,"smart 2: 2, 0.6",2,win via score
818,"smart 2: 0, 0.4",1,win via score
819,"smart 2: 0, 0.6",3,win via score
820,"smart 2: 0, 0.4",1,win via elim
821,"smart 2: 2, 0.6",2,win via score
822,"smart 2: 2, 0.6",2,win via score
823,"smart 2: 2, 0.6",2,win via score
824,"smart 2: 2, 0.6",2,win via score
825,"smart 2: 0, 0.4",1,win via score
826,"smart 2: 2, 0.6",2,win via score
827,"smart 2: 0, 0.4",1,win via score
828,"smart 2: 0, 0.6",3,win via score
829,"smart 2: 0, 0.6",3,win via score
830,"smart 2: 0, 0.6",3,win via elim
831,"smart 2: 0, 0.6",3,win via elim
832,"smart 2: 2, 0.6",2,win via elim
833,"smart 2: 2, 0.6",2,win via elim
834,"smart 2: 0, 0.6",3,win via score
835,"smart 2: 2, 0.6",2,win via score
836,"smart 2: 2, 0.6",2,win via score
837,"smart 2: 2, 0.6",2,win via elim
838,"smart 2: 2, 0.6",2,win via score
839,"smart 2: 2, 0.6",2,win via elim
840,"smart 2: 2, 0.6",2,win via score
841,approx q learning,0,win via score
842,"smart 2: 0, 0.6",3,win via elim
843,"smart 2: 2, 0.6",2,win via elim
844,"smart 2: 0, 0.4",1,win via score
845,"smart 2: 0, 0.6",3,win via score
846,"smart 2: 0, 0.4",1,win via score
847,"smart 2: 0, 0.4",1,win via score
848,"smart 2: 2, 0.6",2,win via score
849,"smart 2: 2, 0.6",2,win via score
850,"smart 2: 2, 0.6",2,win via elim
851,"smart 2: 0, 0.4",1,win via score
852,"smart 2: 2, 0.6",2,win via score
853,"smart 2: 0, 0.6",3,win via score
854,"smart 2: 0, 0.6",3,win via score
855,approx q learning,0,win via score
856,"smart 2: 2, 0.6",2,win via elim
857,"smart 2: 0, 0.6",3,win via score
858,"smart 2: 2, 0.6",2,win via score
859,"smart 2: 2, 0.6",2,win via score
860,"smart 2: 2, 0.6",2,win via score
861,"smart 2: 2, 0.6",2,win via score
862,"smart 2: 0, 0.6",3,win via score
863,"smart 2: 0, 0.6",3,win via score
864,"smart 2: 0, 0.4",1,win via score
865,"smart 2: 2, 0.6",2,win via score
866,"smart 2: 2, 0.6",2,win via elim
867,"smart 2: 2, 0.6",2,win via score
868,"smart 2: 0, 0.4",1,win via score
869,"smart 2: 0, 0.4",1,win via score
870,"smart 2: 0, 0.6",3,win via score
871,"smart 2: 0, 0.6",3,win via score
872,"smart 2: 0, 0.6",3,win via score
873,"smart 2: 0, 0.6",3,win via score
874,"smart 2: 0, 0.6",3,win via score
875,"smart 2: 2, 0.6",2,win via score
876,"smart 2: 0, 0.6",3,win via elim
877,"smart 2: 2, 0.6",2,win via score
878,approx q learning,0,win via score
879,"smart 2: 0, 0.4",1,win via elim
880,"smart 2: 2, 0.6",2,win via elim
881,"smart 2: 0, 0.4",1,win via score
882,"smart 2: 2, 0.6",2,win via elim
883,"smart 2: 2, 0.6",2,win via score
884,"smart 2: 2, 0.6",2,win via score
885,"smart 2: 0, 0.6",3,win via score
886,"smart 2: 0, 0.6",3,win via score
887,"smart 2: 0, 0.4",1,win via score
888,"smart 2: 2, 0.6",2,win via elim
889,approx q learning,0,win via score
890,"smart 2: 0, 0.4",1,win via score
891,"smart 2: 0, 0.4",1,win via elim
892,"smart 2: 2, 0.6",2,win via score
893,"smart 2: 2, 0.6",2,win via score
894,"smart 2: 2, 0.6",2,win via score
895,"smart 2: 2, 0.6",2,win via elim
896,"smart 2: 2, 0.6",2,win via score
897,"smart 2: 2, 0.6",2,win via score
898,"smart 2: 0, 0.4",1,win via score
899,"smart 2: 2, 0.6",2,win via elim
900,"smart 2: 2, 0.6",2,win via score
901,"smart 2: 0, 0.6",3,win via score
902,"smart 2: 0, 0.4",1,win via score
903,approx q learning,0,win via score
904,"smart 2: 0, 0.6",3,win via score
905,"smart 2: 2, 0.6",2,win via score
906,"smart 2: 2, 0.6",2,win via score
907,"smart 2: 0, 0.4",1,win via score
908,"smart 2: 0, 0.4",1,win via score
909,"smart 2: 0, 0.4",1,win via score
910,"smart 2: 0, 0.6",3,win via score
911,"smart 2: 2, 0.6",2,win via score
912,approx q learning,0,win via score
913,"smart 2: 0, 0.6",3,win via score
914,"smart 2: 0, 0.4",1,win via score
915,"smart 2: 0, 0.6",3,win via score
916,approx q learning,0,win via score
917,"smart 2: 2, 0.6",2,win via score
918,"smart 2: 0, 0.6",3,win via elim
919,"smart 2: 2, 0.6",2,win via score
920,"smart 2: 2, 0.6",2,win via score
921,"smart 2: 0, 0.6",3,win via score
922,"smart 2: 0, 0.6",3,win via score
923,"smart 2: 0, 0.6",3,win via elim
924,approx q learning,0,win via score
925,"smart 2: 2, 0.6",2,win via elim
926,"smart 2: 0, 0.4",1,win via score
927,"smart 2: 2, 0.6",2,win via score
928,"smart 2: 2, 0.6",2,win via score
929,"smart 2: 2, 0.6",2,win via score
930,"smart 2: 0, 0.4",1,win via score
931,"smart 2: 2, 0.6",2,win via score
932,"smart 2: 0, 0.6",3,win via elim
933,"smart 2: 0, 0.4",1,win via elim
934,"smart 2: 0, 0.4",1,win via score
935,"smart 2: 2, 0.6",2,win via score
936,"smart 2: 0, 0.6",3,win via score
937,"smart 2: 0, 0.6",3,win via score
938,approx q learning,0,win via score
939,"smart 2: 2, 0.6",2,win via score
940,"smart 2: 2, 0.6",2,win via score
941,"smart 2: 0, 0.6",3,win via elim
942,"smart 2: 0, 0.4",1,win via score
943,"smart 2: 0, 0.6",3,win via elim
944,"smart 2: 0, 0.4",1,win via score
945,"smart 2: 2, 0.6",2,win via score
946,"smart 2: 0, 0.4",1,win via score
947,"smart 2: 2, 0.6",2,win via score
948,"smart 2: 2, 0.6",2,win via score
949,"smart 2: 0, 0.4",1,win via score
950,"smart 2: 2, 0.6",2,win via elim
951,"smart 2: 0, 0.6",3,win via score
952,"smart 2: 0, 0.6",3,win via score
953,"smart 2: 2, 0.6",2,win via score
954,"smart 2: 0, 0.6",3,win via score
955,"smart 2: 2, 0.6",2,win via score
956,approx q learning,0,win via score
957,"smart 2: 0, 0.6",3,win via elim
958,"smart 2: 0, 0.6",3,win via score
959,"smart 2: 0, 0.6",3,win via score
960,"smart 2: 2, 0.6",2,win via score
961,approx q learning,0,win via score
962,"smart 2: 0, 0.6",3,win via score
963,"smart 2: 0, 0.6",3,win via score
964,"smart 2: 2, 0.6",2,win via score
965,"smart 2: 2, 0.6",2,win via score
966,"smart 2: 0, 0.6",3,win via score
967,"smart 2: 2, 0.6",2,win via score
968,"smart 2: 2, 0.6",2,win via score
969,"smart 2: 0, 0.6",3,win via score
970,"smart 2: 0, 0.4",1,win via score
971,"smart 2: 0, 0.6",3,win via elim
972,"smart 2: 2, 0.6",2,win via score
973,"smart 2: 0, 0.6",3,win via score
974,"smart 2: 0, 0.4",1,win via score
975,"smart 2: 2, 0.6",2,win via elim
976,"smart 2: 0, 0.6",3,win via elim
977,"smart 2: 0, 0.6",3,win via score
978,"smart 2: 2, 0.6",2,win via score
979,"smart 2: 2, 0.6",2,win via score
980,"smart 2: 2, 0.6",2,win via score
981,"smart 2: 0, 0.4",1,win via score
982,"smart 2: 0, 0.4",1,win via elim
983,"smart 2: 0, 0.6",3,win via score
984,"smart 2: 0, 0.4",1,win via score
985,"smart 2: 0, 0.4",1,win via score
986,"smart 2: 0, 0.4",1,win via score
987,"smart 2: 0, 0.4",1,win via score
988,"smart 2: 0, 0.6",3,win via score
989,"smart 2: 0, 0.6",3,win via score
990,"smart 2: 0, 0.6",3,win via elim
991,"smart 2: 0, 0.6",3,win via score
992,"smart 2: 0, 0.6",3,win via score
993,"smart 2: 0, 0.4",1,win via score
994,"smart 2: 0, 0.6",3,win via score
995,"smart 2: 2, 0.6",2,win via score
996,"smart 2: 0, 0.4",1,win via score
997,"smart 2: 2, 0.6",2,win via score
998,approx q learning,0,win via score
999,"smart 2: 2, 0.6",2,win via elim
