,player type,player,result
0,"smart 2: 0, 0.4",1,self lose challange
1,approx q learning,0,self lose challange
2,approx q learning,0,self lose challange
3,approx q learning,0,turned flower
4,approx q learning,0,self lose challange
5,approx q learning,0,turned flower
6,approx q learning,0,lose game
7,"smart 2: 0, 0.4",1,turned flower
8,"smart 2: 0, 0.4",1,turned flower
9,"smart 2: 0, 0.4",1,lose challange
10,"smart 2: 0, 0.4",1,turned flower
11,"smart 2: 0, 0.4",1,lose challange
12,"smart 2: 0, 0.4",1,self lose game
13,"smart 2: 0, 0.6",3,self lose challange
14,"smart 2: 0, 0.6",3,win challange
15,"smart 2: 0, 0.6",3,win challange
16,approx q learning,0,self lose challange
17,"smart 2: 0, 0.4",1,turned flower
18,"smart 2: 0, 0.4",1,lose challange
19,"smart 2: 0, 0.6",3,self lose challange
20,"smart 2: 2, 0.6",2,self lose challange
21,approx q learning,0,turned flower
22,approx q learning,0,turned flower
23,approx q learning,0,lose challange
24,approx q learning,0,turned flower
25,approx q learning,0,lose challange
26,"smart 2: 0, 0.4",1,turned flower
27,"smart 2: 0, 0.4",1,turned flower
28,"smart 2: 0, 0.4",1,lose challange
29,"smart 2: 2, 0.6",2,self lose challange
30,"smart 2: 0, 0.6",3,self lose challange
31,approx q learning,0,self lose game
32,"smart 2: 0, 0.4",1,turned flower
33,"smart 2: 0, 0.4",1,turned flower
34,"smart 2: 0, 0.4",1,win challange
35,"smart 2: 2, 0.6",2,turned flower
36,"smart 2: 2, 0.6",2,lose challange
37,"smart 2: 0, 0.4",1,turned flower
38,"smart 2: 0, 0.4",1,lose challange
39,"smart 2: 0, 0.6",3,self lose challange
40,"smart 2: 0, 0.4",1,turned flower
41,"smart 2: 0, 0.4",1,lose game
42,"smart 2: 2, 0.6",2,self lose game
43,"smart 2: 0, 0.4",1,self lose challange
44,"smart 2: 2, 0.6",2,self lose challange
45,"smart 2: 0, 0.4",1,self lose challange
46,"smart 2: 0, 0.4",1,turned flower
47,"smart 2: 0, 0.4",1,lose challange
48,"smart 2: 0, 0.4",1,turned flower
49,"smart 2: 0, 0.4",1,lose game
50,approx q learning,0,self lose challange
51,"smart 2: 0, 0.6",3,self lose challange
52,"smart 2: 2, 0.6",2,turned flower
53,"smart 2: 2, 0.6",2,turned flower
54,"smart 2: 2, 0.6",2,lose challange
55,approx q learning,0,self lose challange
56,approx q learning,0,self lose challange
