,player type,player,result
0,"smart 2: 0, 0.4",1,self lose challange
1,"smart 2: 0, 0.4",1,turned flower
2,"smart 2: 0, 0.4",1,self lose challange
3,"smart 2: 0, 0.4",1,self lose challange
4,"smart 2: 2, 0.6",2,self lose challange
5,"smart 2: 0, 0.4",1,turned flower
6,"smart 2: 0, 0.4",1,lose game
7,approx q learning,0,turned flower
8,approx q learning,0,win challange
9,"smart 2: 2, 0.6",2,self lose challange
10,"smart 2: 0, 0.6",3,turned flower
11,"smart 2: 0, 0.6",3,lose challange
12,"smart 2: 0, 0.6",3,self lose challange
13,"smart 2: 2, 0.6",2,turned flower
14,"smart 2: 2, 0.6",2,lose challange
15,"smart 2: 2, 0.6",2,turned flower
16,"smart 2: 2, 0.6",2,lose game
17,"smart 2: 0, 0.6",3,win challange
18,approx q learning,0,turned flower
19,approx q learning,0,turned flower
20,approx q learning,0,lose challange
21,approx q learning,0,self lose challange
22,approx q learning,0,self lose challange
23,approx q learning,0,win challange
24,approx q learning,0,turned flower
25,approx q learning,0,turned flower
26,approx q learning,0,turned flower
27,approx q learning,0,win challange
28,"smart 2: 0, 0.4",1,turned flower
29,"smart 2: 0, 0.4",1,self lose challange
30,"smart 2: 2, 0.6",2,turned flower
31,"smart 2: 2, 0.6",2,turned flower
32,"smart 2: 2, 0.6",2,turned flower
33,"smart 2: 2, 0.6",2,lose challange
34,"smart 2: 2, 0.6",2,turned flower
35,"smart 2: 2, 0.6",2,turned flower
36,"smart 2: 2, 0.6",2,lose challange
37,"smart 2: 2, 0.6",2,turned flower
38,"smart 2: 2, 0.6",2,lose challange
39,"smart 2: 0, 0.4",1,self lose challange
40,"smart 2: 0, 0.4",1,turned flower
41,"smart 2: 0, 0.4",1,self lose challange
42,"smart 2: 0, 0.4",1,turned flower
43,"smart 2: 0, 0.4",1,lose game
44,approx q learning,0,turned flower
45,approx q learning,0,turned flower
46,approx q learning,0,lose challange
47,"smart 2: 0, 0.6",3,self lose challange
48,"smart 2: 0, 0.6",3,turned flower
49,"smart 2: 0, 0.6",3,turned flower
50,"smart 2: 0, 0.6",3,win challange
51,"smart 2: 2, 0.6",2,turned flower
52,"smart 2: 2, 0.6",2,lose game
53,"smart 2: 0, 0.6",3,self lose challange
54,"smart 2: 0, 0.6",3,win challange
55,"smart 2: 0, 0.6",3,self lose challange
56,"smart 2: 0, 0.4",1,self lose challange
57,"smart 2: 0, 0.4",1,turned flower
58,"smart 2: 0, 0.4",1,lose challange
59,"smart 2: 0, 0.4",1,turned flower
60,"smart 2: 0, 0.4",1,lose challange
61,"smart 2: 2, 0.6",2,turned flower
