,player type,player,result
62,"smart 2: 2, 0.6",2,lose challange
63,"smart 2: 0, 0.4",1,self lose game
64,"smart 2: 2, 0.6",2,turned flower
65,"smart 2: 2, 0.6",2,self lose challange
66,approx q learning,0,turned flower
67,approx q learning,0,turned flower
68,approx q learning,0,lose challange
69,"smart 2: 0, 0.6",3,self lose challange
70,"smart 2: 0, 0.6",3,self lose challange
71,"smart 2: 2, 0.6",2,turned flower
72,"smart 2: 2, 0.6",2,win challange
73,approx q learning,0,turned flower
74,approx q learning,0,turned flower
75,approx q learning,0,win challange
76,approx q learning,0,turned flower
77,approx q learning,0,lose challange
78,"smart 2: 0, 0.6",3,turned flower
79,"smart 2: 0, 0.6",3,lose game
80,approx q learning,0,self lose challange
81,approx q learning,0,win challange
82,"smart 2: 0, 0.6",3,self lose challange
83,approx q learning,0,turned flower
84,approx q learning,0,lose challange
85,"smart 2: 0, 0.6",3,self lose challange
86,"smart 2: 2, 0.6",2,turned flower
87,"smart 2: 2, 0.6",2,turned flower
88,"smart 2: 2, 0.6",2,lose challange
89,approx q learning,0,turned flower
90,approx q learning,0,turned flower
91,approx q learning,0,turned flower
92,approx q learning,0,lose challange
93,"smart 2: 0, 0.4",1,turned flower
94,"smart 2: 0, 0.4",1,self lose challange
95,"smart 2: 2, 0.6",2,self lose challange
96,"smart 2: 0, 0.4",1,self lose challange
97,"smart 2: 2, 0.6",2,turned flower
98,"smart 2: 2, 0.6",2,turned flower
99,"smart 2: 2, 0.6",2,turned flower
100,"smart 2: 2, 0.6",2,win challange
101,"smart 2: 2, 0.6",2,turned flower
102,"smart 2: 2, 0.6",2,turned flower
103,"smart 2: 2, 0.6",2,turned flower
104,"smart 2: 2, 0.6",2,win challange
105,"smart 2: 0, 0.6",3,self lose challange
106,"smart 2: 0, 0.4",1,self lose challange
107,"smart 2: 2, 0.6",2,turned flower
108,"smart 2: 2, 0.6",2,self lose challange
109,"smart 2: 0, 0.4",1,turned flower
110,"smart 2: 0, 0.4",1,turned flower
111,"smart 2: 0, 0.4",1,turned flower
112,"smart 2: 0, 0.4",1,win challange
113,"smart 2: 2, 0.6",2,turned flower
114,"smart 2: 2, 0.6",2,lose challange
115,"smart 2: 0, 0.4",1,self lose challange
116,"smart 2: 2, 0.6",2,turned flower
117,"smart 2: 2, 0.6",2,lose challange
118,"smart 2: 0, 0.6",3,self lose challange
119,"smart 2: 0, 0.4",1,turned flower
120,"smart 2: 0, 0.4",1,self lose challange
121,"smart 2: 0, 0.4",1,turned flower
122,"smart 2: 0, 0.4",1,lose game
123,"smart 2: 0, 0.6",3,turned flower
124,"smart 2: 0, 0.6",3,lose challange
125,approx q learning,0,turned flower
126,approx q learning,0,lose challange
127,"smart 2: 0, 0.6",3,turned flower
128,"smart 2: 0, 0.6",3,lose game
129,"smart 2: 2, 0.6",2,self lose game
130,approx q learning,0,turned flower
131,approx q learning,0,turned flower
132,approx q learning,0,turned flower
133,approx q learning,0,lose challange
134,approx q learning,0,turned flower
135,approx q learning,0,turned flower
136,approx q learning,0,lose challange
137,"smart 2: 0, 0.4",1,self lose challange
138,approx q learning,0,turned flower
139,approx q learning,0,lose challange
140,"smart 2: 0, 0.4",1,turned flower
141,"smart 2: 0, 0.4",1,turned flower
142,"smart 2: 0, 0.4",1,lose challange
143,"smart 2: 0, 0.4",1,turned flower
144,"smart 2: 0, 0.4",1,turned flower
145,"smart 2: 0, 0.4",1,turned flower
146,"smart 2: 0, 0.4",1,lose challange
147,"smart 2: 0, 0.4",1,self lose game
148,approx q learning,0,turned flower
149,approx q learning,0,lose game
150,"smart 2: 2, 0.6",2,win challange
151,"smart 2: 0, 0.6",3,turned flower
152,"smart 2: 0, 0.6",3,turned flower
153,"smart 2: 0, 0.6",3,turned flower
154,"smart 2: 0, 0.6",3,self lose challange
155,"smart 2: 0, 0.6",3,self lose challange
156,"smart 2: 2, 0.6",2,self lose challange
157,"smart 2: 0, 0.6",3,turned flower
158,"smart 2: 0, 0.6",3,self lose challange
159,"smart 2: 0, 0.6",3,win challange
160,"smart 2: 0, 0.6",3,win challange
161,approx q learning,0,turned flower
162,approx q learning,0,lose challange
163,"smart 2: 0, 0.4",1,turned flower
164,"smart 2: 0, 0.4",1,self lose challange
165,"smart 2: 2, 0.6",2,turned flower
166,"smart 2: 2, 0.6",2,self lose challange
167,"smart 2: 0, 0.6",3,self lose challange
168,approx q learning,0,turned flower
169,approx q learning,0,lose challange
170,"smart 2: 0, 0.6",3,self lose challange
171,approx q learning,0,turned flower
172,approx q learning,0,lose challange
173,approx q learning,0,turned flower
174,approx q learning,0,lose game
175,"smart 2: 2, 0.6",2,self lose challange
176,"smart 2: 0, 0.4",1,self lose challange
177,"smart 2: 0, 0.4",1,self lose challange
178,"smart 2: 0, 0.6",3,self lose challange
179,"smart 2: 2, 0.6",2,self lose challange
180,"smart 2: 0, 0.4",1,turned flower
181,"smart 2: 0, 0.4",1,turned flower
182,"smart 2: 0, 0.4",1,win challange
183,"smart 2: 0, 0.6",3,turned flower
184,"smart 2: 0, 0.6",3,turned flower
185,"smart 2: 0, 0.6",3,win challange
186,"smart 2: 0, 0.6",3,turned flower
187,"smart 2: 0, 0.6",3,turned flower
188,"smart 2: 0, 0.6",3,win challange
189,"smart 2: 0, 0.4",1,self lose challange
190,"smart 2: 0, 0.4",1,self lose challange
191,"smart 2: 0, 0.4",1,self lose challange
192,approx q learning,0,turned flower
193,approx q learning,0,turned flower
194,approx q learning,0,lose challange
195,approx q learning,0,turned flower
196,approx q learning,0,turned flower
197,approx q learning,0,win challange
198,approx q learning,0,turned flower
199,approx q learning,0,turned flower
200,approx q learning,0,lose challange
201,"smart 2: 2, 0.6",2,turned flower
202,"smart 2: 2, 0.6",2,lose challange
203,"smart 2: 0, 0.4",1,turned flower
204,"smart 2: 0, 0.4",1,lose game
205,"smart 2: 0, 0.6",3,self lose challange
206,"smart 2: 2, 0.6",2,self lose challange
207,approx q learning,0,turned flower
208,approx q learning,0,turned flower
209,approx q learning,0,lose challange
210,"smart 2: 0, 0.6",3,self lose challange
211,approx q learning,0,turned flower
212,approx q learning,0,win challange
213,"smart 2: 0, 0.4",1,self lose challange
214,"smart 2: 0, 0.4",1,self lose challange
215,"smart 2: 0, 0.6",3,turned flower
216,"smart 2: 0, 0.6",3,lose challange
217,"smart 2: 2, 0.6",2,self lose challange
218,approx q learning,0,turned flower
219,approx q learning,0,lose challange
220,approx q learning,0,turned flower
221,approx q learning,0,turned flower
222,approx q learning,0,win challange
223,"smart 2: 0, 0.6",3,self lose challange
224,"smart 2: 0, 0.6",3,self lose challange
225,"smart 2: 2, 0.6",2,turned flower
226,"smart 2: 2, 0.6",2,lose challange
227,"smart 2: 2, 0.6",2,turned flower
228,"smart 2: 2, 0.6",2,turned flower
229,"smart 2: 2, 0.6",2,turned flower
230,"smart 2: 2, 0.6",2,win challange
231,approx q learning,0,turned flower
232,approx q learning,0,lose challange
233,"smart 2: 0, 0.4",1,turned flower
234,"smart 2: 0, 0.4",1,turned flower
235,"smart 2: 0, 0.4",1,turned flower
236,"smart 2: 0, 0.4",1,turned flower
237,"smart 2: 0, 0.4",1,lose challange
238,"smart 2: 0, 0.4",1,turned flower
239,"smart 2: 0, 0.4",1,turned flower
240,"smart 2: 0, 0.4",1,turned flower
241,"smart 2: 0, 0.4",1,win challange
242,"smart 2: 0, 0.4",1,turned flower
243,"smart 2: 0, 0.4",1,turned flower
244,"smart 2: 0, 0.4",1,turned flower
245,"smart 2: 0, 0.4",1,win challange
246,"smart 2: 0, 0.6",3,self lose challange
247,"smart 2: 0, 0.4",1,self lose challange
248,"smart 2: 0, 0.4",1,self lose challange
249,"smart 2: 0, 0.6",3,self lose challange
250,approx q learning,0,turned flower
251,approx q learning,0,turned flower
252,approx q learning,0,lose challange
253,"smart 2: 0, 0.4",1,self lose challange
254,"smart 2: 0, 0.4",1,turned flower
255,"smart 2: 0, 0.4",1,lose game
256,"smart 2: 2, 0.6",2,turned flower
257,"smart 2: 2, 0.6",2,turned flower
258,"smart 2: 2, 0.6",2,turned flower
259,"smart 2: 2, 0.6",2,turned flower
260,"smart 2: 2, 0.6",2,lose challange
261,"smart 2: 2, 0.6",2,turned flower
262,"smart 2: 2, 0.6",2,lose challange
263,approx q learning,0,turned flower
264,approx q learning,0,turned flower
265,approx q learning,0,lose challange
266,approx q learning,0,turned flower
267,approx q learning,0,turned flower
268,approx q learning,0,lose challange
269,"smart 2: 2, 0.6",2,turned flower
270,"smart 2: 2, 0.6",2,lose challange
271,"smart 2: 0, 0.6",3,self lose challange
272,"smart 2: 0, 0.6",3,turned flower
273,"smart 2: 0, 0.6",3,turned flower
274,"smart 2: 0, 0.6",3,lose game
275,"smart 2: 2, 0.6",2,turned flower
276,"smart 2: 2, 0.6",2,lose game
277,"smart 2: 0, 0.6",3,turned flower
278,"smart 2: 0, 0.6",3,lose challange
279,"smart 2: 0, 0.6",3,turned flower
280,"smart 2: 0, 0.6",3,self lose challange
281,"smart 2: 0, 0.6",3,turned flower
282,"smart 2: 0, 0.6",3,lose challange
283,"smart 2: 0, 0.4",1,self lose challange
284,approx q learning,0,turned flower
285,approx q learning,0,turned flower
286,approx q learning,0,lose challange
287,"smart 2: 0, 0.4",1,turned flower
288,"smart 2: 0, 0.4",1,self lose challange
289,"smart 2: 0, 0.4",1,turned flower
290,"smart 2: 0, 0.4",1,turned flower
291,"smart 2: 0, 0.4",1,turned flower
292,"smart 2: 0, 0.4",1,win challange
293,"smart 2: 2, 0.6",2,turned flower
294,"smart 2: 2, 0.6",2,turned flower
295,"smart 2: 2, 0.6",2,turned flower
296,"smart 2: 2, 0.6",2,turned flower
297,"smart 2: 2, 0.6",2,lose challange
298,"smart 2: 0, 0.4",1,turned flower
299,"smart 2: 0, 0.4",1,turned flower
300,"smart 2: 0, 0.4",1,turned flower
301,"smart 2: 0, 0.4",1,win challange
302,"smart 2: 0, 0.4",1,self lose challange
303,"smart 2: 0, 0.6",3,turned flower
304,"smart 2: 0, 0.6",3,self lose challange
305,approx q learning,0,turned flower
306,approx q learning,0,win challange
307,"smart 2: 0, 0.4",1,self lose challange
308,"smart 2: 2, 0.6",2,self lose challange
309,"smart 2: 0, 0.4",1,turned flower
310,"smart 2: 0, 0.4",1,self lose challange
311,"smart 2: 0, 0.4",1,turned flower
312,"smart 2: 0, 0.4",1,turned flower
313,"smart 2: 0, 0.4",1,turned flower
314,"smart 2: 0, 0.4",1,win challange
315,approx q learning,0,turned flower
316,approx q learning,0,turned flower
317,approx q learning,0,lose challange
318,approx q learning,0,turned flower
319,approx q learning,0,turned flower
320,approx q learning,0,turned flower
321,approx q learning,0,lose challange
322,approx q learning,0,turned flower
323,approx q learning,0,turned flower
324,approx q learning,0,turned flower
325,approx q learning,0,lose challange
326,"smart 2: 0, 0.6",3,self lose challange
327,"smart 2: 0, 0.6",3,self lose challange
328,"smart 2: 0, 0.6",3,turned flower
329,"smart 2: 0, 0.6",3,turned flower
330,"smart 2: 0, 0.6",3,turned flower
331,"smart 2: 0, 0.6",3,win challange
332,"smart 2: 0, 0.6",3,turned flower
333,"smart 2: 0, 0.6",3,turned flower
334,"smart 2: 0, 0.6",3,turned flower
335,"smart 2: 0, 0.6",3,win challange
336,"smart 2: 0, 0.4",1,self lose challange
337,"smart 2: 0, 0.4",1,self lose challange
338,approx q learning,0,turned flower
339,approx q learning,0,turned flower
340,approx q learning,0,lose challange
341,"smart 2: 2, 0.6",2,self lose challange
342,"smart 2: 0, 0.4",1,self lose challange
343,"smart 2: 2, 0.6",2,turned flower
344,"smart 2: 2, 0.6",2,lose challange
345,"smart 2: 0, 0.4",1,turned flower
346,"smart 2: 0, 0.4",1,turned flower
347,"smart 2: 0, 0.4",1,lose game
348,approx q learning,0,turned flower
349,approx q learning,0,turned flower
350,approx q learning,0,lose challange
351,"smart 2: 0, 0.6",3,self lose challange
352,"smart 2: 0, 0.6",3,self lose challange
353,"smart 2: 0, 0.6",3,self lose challange
354,approx q learning,0,turned flower
355,approx q learning,0,win challange
356,approx q learning,0,turned flower
357,approx q learning,0,turned flower
358,approx q learning,0,win challange
359,"smart 2: 0, 0.4",1,turned flower
360,"smart 2: 0, 0.4",1,lose challange
361,"smart 2: 0, 0.6",3,self lose challange
362,"smart 2: 0, 0.6",3,self lose challange
363,"smart 2: 0, 0.4",1,self lose challange
364,"smart 2: 2, 0.6",2,self lose challange
365,"smart 2: 0, 0.6",3,turned flower
366,"smart 2: 0, 0.6",3,turned flower
367,"smart 2: 0, 0.6",3,lose challange
368,"smart 2: 0, 0.4",1,self lose challange
369,"smart 2: 2, 0.6",2,self lose challange
370,"smart 2: 0, 0.6",3,turned flower
371,"smart 2: 0, 0.6",3,turned flower
372,"smart 2: 0, 0.6",3,turned flower
373,"smart 2: 0, 0.6",3,lose game
374,"smart 2: 2, 0.6",2,turned flower
375,"smart 2: 2, 0.6",2,turned flower
376,"smart 2: 2, 0.6",2,turned flower
377,"smart 2: 2, 0.6",2,lose challange
378,approx q learning,0,turned flower
379,approx q learning,0,win challange
380,"smart 2: 0, 0.4",1,turned flower
381,"smart 2: 0, 0.4",1,lose game
382,"smart 2: 2, 0.6",2,win challange
383,"smart 2: 2, 0.6",2,win challange
384,"smart 2: 0, 0.4",1,turned flower
385,"smart 2: 0, 0.4",1,self lose challange
386,"smart 2: 0, 0.4",1,self lose challange
387,"smart 2: 0, 0.4",1,self lose challange
388,"smart 2: 0, 0.6",3,self lose challange
389,approx q learning,0,turned flower
390,approx q learning,0,win challange
391,"smart 2: 0, 0.4",1,turned flower
392,"smart 2: 0, 0.4",1,turned flower
393,"smart 2: 0, 0.4",1,turned flower
394,"smart 2: 0, 0.4",1,win challange
395,"smart 2: 2, 0.6",2,self lose challange
396,"smart 2: 2, 0.6",2,turned flower
397,"smart 2: 2, 0.6",2,lose challange
398,"smart 2: 0, 0.4",1,turned flower
399,"smart 2: 0, 0.4",1,turned flower
400,"smart 2: 0, 0.4",1,lose game
401,approx q learning,0,turned flower
402,approx q learning,0,turned flower
403,approx q learning,0,lose challange
404,"smart 2: 2, 0.6",2,turned flower
405,"smart 2: 2, 0.6",2,turned flower
406,"smart 2: 2, 0.6",2,turned flower
407,"smart 2: 2, 0.6",2,lose challange
408,approx q learning,0,turned flower
409,approx q learning,0,turned flower
410,approx q learning,0,lose challange
411,"smart 2: 0, 0.6",3,self lose challange
412,"smart 2: 0, 0.6",3,self lose challange
413,"smart 2: 0, 0.6",3,turned flower
414,"smart 2: 0, 0.6",3,lose game
415,approx q learning,0,self lose challange
416,"smart 2: 2, 0.6",2,turned flower
417,"smart 2: 2, 0.6",2,win challange
418,approx q learning,0,turned flower
419,approx q learning,0,win challange
420,approx q learning,0,turned flower
421,approx q learning,0,lose challange
422,approx q learning,0,turned flower
423,approx q learning,0,lose challange
424,approx q learning,0,turned flower
425,approx q learning,0,turned flower
426,approx q learning,0,turned flower
427,approx q learning,0,lose challange
428,approx q learning,0,turned flower
429,approx q learning,0,lose game
430,"smart 2: 0, 0.6",3,self lose challange
431,"smart 2: 0, 0.6",3,turned flower
432,"smart 2: 0, 0.6",3,lose challange
433,"smart 2: 2, 0.6",2,turned flower
434,"smart 2: 2, 0.6",2,self lose challange
435,"smart 2: 0, 0.4",1,self lose challange
436,"smart 2: 2, 0.6",2,turned flower
437,"smart 2: 2, 0.6",2,lose challange
438,"smart 2: 0, 0.4",1,self lose challange
439,"smart 2: 0, 0.6",3,turned flower
440,"smart 2: 0, 0.6",3,lose challange
441,"smart 2: 2, 0.6",2,turned flower
442,"smart 2: 2, 0.6",2,lose challange
443,"smart 2: 0, 0.4",1,self lose challange
444,"smart 2: 0, 0.4",1,turned flower
445,"smart 2: 0, 0.4",1,lose game
446,"smart 2: 2, 0.6",2,self lose game
447,"smart 2: 0, 0.6",3,turned flower
448,"smart 2: 0, 0.6",3,self lose challange
449,approx q learning,0,turned flower
450,approx q learning,0,lose challange
451,"smart 2: 0, 0.4",1,self lose challange
452,"smart 2: 2, 0.6",2,turned flower
453,"smart 2: 2, 0.6",2,lose challange
454,"smart 2: 0, 0.6",3,self lose challange
455,approx q learning,0,turned flower
456,approx q learning,0,turned flower
457,approx q learning,0,lose challange
458,"smart 2: 0, 0.6",3,turned flower
459,"smart 2: 0, 0.6",3,lose challange
460,"smart 2: 0, 0.4",1,turned flower
461,"smart 2: 0, 0.4",1,turned flower
462,"smart 2: 0, 0.4",1,turned flower
463,"smart 2: 0, 0.4",1,lose challange
464,"smart 2: 2, 0.6",2,turned flower
465,"smart 2: 2, 0.6",2,turned flower
466,"smart 2: 2, 0.6",2,turned flower
467,"smart 2: 2, 0.6",2,win challange
468,"smart 2: 0, 0.6",3,turned flower
469,"smart 2: 0, 0.6",3,lose game
470,"smart 2: 0, 0.4",1,turned flower
471,"smart 2: 0, 0.4",1,lose challange
472,approx q learning,0,turned flower
473,approx q learning,0,turned flower
474,approx q learning,0,win challange
475,"smart 2: 2, 0.6",2,turned flower
476,"smart 2: 2, 0.6",2,win challange
477,"smart 2: 0, 0.4",1,self lose challange
478,"smart 2: 0, 0.6",3,turned flower
479,"smart 2: 0, 0.6",3,self lose challange
480,"smart 2: 2, 0.6",2,turned flower
481,"smart 2: 2, 0.6",2,lose challange
482,"smart 2: 2, 0.6",2,turned flower
483,"smart 2: 2, 0.6",2,turned flower
484,"smart 2: 2, 0.6",2,lose challange
485,approx q learning,0,turned flower
486,approx q learning,0,turned flower
487,approx q learning,0,turned flower
488,approx q learning,0,turned flower
489,approx q learning,0,turned flower
490,approx q learning,0,turned flower
491,approx q learning,0,lose challange
492,approx q learning,0,turned flower
493,approx q learning,0,turned flower
494,approx q learning,0,lose challange
495,approx q learning,0,turned flower
496,approx q learning,0,lose challange
497,approx q learning,0,turned flower
498,approx q learning,0,lose game
499,"smart 2: 0, 0.4",1,self lose challange
500,"smart 2: 0, 0.4",1,turned flower
501,"smart 2: 0, 0.4",1,lose challange
502,"smart 2: 0, 0.4",1,self lose game
503,"smart 2: 2, 0.6",2,turned flower
504,"smart 2: 2, 0.6",2,turned flower
505,"smart 2: 2, 0.6",2,win challange
506,"smart 2: 2, 0.6",2,win challange
507,"smart 2: 0, 0.6",3,turned flower
508,"smart 2: 0, 0.6",3,lose challange
509,"smart 2: 0, 0.4",1,self lose challange
510,"smart 2: 0, 0.4",1,turned flower
511,"smart 2: 0, 0.4",1,self lose challange
512,approx q learning,0,turned flower
513,approx q learning,0,turned flower
514,approx q learning,0,lose challange
515,"smart 2: 0, 0.6",3,turned flower
516,"smart 2: 0, 0.6",3,lose challange
517,"smart 2: 0, 0.4",1,turned flower
518,"smart 2: 0, 0.4",1,win challange
519,"smart 2: 0, 0.4",1,turned flower
520,"smart 2: 0, 0.4",1,self lose challange
521,"smart 2: 0, 0.4",1,turned flower
522,"smart 2: 0, 0.4",1,lose game
523,"smart 2: 0, 0.6",3,turned flower
524,"smart 2: 0, 0.6",3,lose challange
525,"smart 2: 2, 0.6",2,self lose challange
526,approx q learning,0,turned flower
527,approx q learning,0,turned flower
528,approx q learning,0,win challange
529,approx q learning,0,turned flower
530,approx q learning,0,turned flower
531,approx q learning,0,turned flower
532,approx q learning,0,win challange
533,"smart 2: 0, 0.4",1,turned flower
534,"smart 2: 0, 0.4",1,turned flower
535,"smart 2: 0, 0.4",1,lose challange
536,"smart 2: 2, 0.6",2,turned flower
537,"smart 2: 2, 0.6",2,lose challange
538,approx q learning,0,turned flower
539,approx q learning,0,lose challange
540,"smart 2: 0, 0.6",3,self lose challange
541,approx q learning,0,turned flower
542,approx q learning,0,lose challange
543,"smart 2: 0, 0.4",1,self lose challange
544,approx q learning,0,turned flower
545,approx q learning,0,lose challange
546,approx q learning,0,turned flower
547,approx q learning,0,lose game
548,"smart 2: 2, 0.6",2,self lose challange
549,"smart 2: 2, 0.6",2,turned flower
550,"smart 2: 2, 0.6",2,self lose challange
551,"smart 2: 0, 0.6",3,self lose challange
552,"smart 2: 2, 0.6",2,turned flower
553,"smart 2: 2, 0.6",2,lose game
554,"smart 2: 0, 0.6",3,self lose challange
555,"smart 2: 0, 0.4",1,self lose challange
556,"smart 2: 0, 0.6",3,turned flower
557,"smart 2: 0, 0.6",3,win challange
558,"smart 2: 0, 0.4",1,turned flower
559,"smart 2: 0, 0.4",1,win challange
560,"smart 2: 0, 0.6",3,turned flower
561,"smart 2: 0, 0.6",3,win challange
562,"smart 2: 0, 0.4",1,turned flower
563,"smart 2: 0, 0.4",1,lose challange
564,approx q learning,0,turned flower
565,approx q learning,0,turned flower
566,approx q learning,0,turned flower
567,approx q learning,0,lose challange
568,"smart 2: 0, 0.4",1,self lose challange
569,"smart 2: 0, 0.4",1,turned flower
570,"smart 2: 0, 0.4",1,lose challange
571,approx q learning,0,turned flower
572,approx q learning,0,turned flower
573,approx q learning,0,lose challange
574,"smart 2: 0, 0.4",1,turned flower
575,"smart 2: 0, 0.4",1,lose game
576,approx q learning,0,turned flower
577,approx q learning,0,turned flower
578,approx q learning,0,win challange
579,approx q learning,0,turned flower
580,approx q learning,0,lose challange
581,"smart 2: 0, 0.6",3,self lose challange
582,approx q learning,0,turned flower
583,approx q learning,0,lose game
584,"smart 2: 2, 0.6",2,turned flower
585,"smart 2: 2, 0.6",2,win challange
586,"smart 2: 2, 0.6",2,win challange
587,"smart 2: 0, 0.6",3,self lose challange
588,approx q learning,0,turned flower
589,approx q learning,0,lose challange
590,"smart 2: 0, 0.6",3,turned flower
591,"smart 2: 0, 0.6",3,self lose challange
592,approx q learning,0,turned flower
593,approx q learning,0,lose challange
594,"smart 2: 0, 0.6",3,turned flower
595,"smart 2: 0, 0.6",3,turned flower
596,"smart 2: 0, 0.6",3,lose challange
597,"smart 2: 2, 0.6",2,turned flower
598,"smart 2: 2, 0.6",2,turned flower
599,"smart 2: 2, 0.6",2,turned flower
600,"smart 2: 2, 0.6",2,win challange
601,"smart 2: 0, 0.4",1,self lose challange
602,approx q learning,0,turned flower
603,approx q learning,0,turned flower
604,approx q learning,0,lose challange
605,approx q learning,0,turned flower
606,approx q learning,0,lose game
607,"smart 2: 2, 0.6",2,self lose challange
608,"smart 2: 0, 0.6",3,turned flower
609,"smart 2: 0, 0.6",3,win challange
610,"smart 2: 2, 0.6",2,turned flower
611,"smart 2: 2, 0.6",2,turned flower
612,"smart 2: 2, 0.6",2,lose challange
613,"smart 2: 0, 0.4",1,turned flower
614,"smart 2: 0, 0.4",1,turned flower
615,"smart 2: 0, 0.4",1,win challange
616,"smart 2: 2, 0.6",2,turned flower
617,"smart 2: 2, 0.6",2,turned flower
618,"smart 2: 2, 0.6",2,win challange
619,"smart 2: 0, 0.6",3,turned flower
620,"smart 2: 0, 0.6",3,turned flower
621,"smart 2: 0, 0.6",3,turned flower
622,"smart 2: 0, 0.6",3,lose challange
623,"smart 2: 2, 0.6",2,self lose challange
624,"smart 2: 0, 0.4",1,turned flower
625,"smart 2: 0, 0.4",1,self lose challange
626,"smart 2: 0, 0.4",1,turned flower
627,"smart 2: 0, 0.4",1,turned flower
628,"smart 2: 0, 0.4",1,lose challange
629,"smart 2: 0, 0.6",3,turned flower
630,"smart 2: 0, 0.6",3,lose challange
631,"smart 2: 0, 0.4",1,turned flower
632,"smart 2: 0, 0.4",1,lose challange
633,"smart 2: 0, 0.4",1,turned flower
634,"smart 2: 0, 0.4",1,turned flower
635,"smart 2: 0, 0.4",1,lose game
636,"smart 2: 0, 0.6",3,turned flower
637,"smart 2: 0, 0.6",3,lose challange
638,"smart 2: 0, 0.6",3,self lose game
639,approx q learning,0,win challange
640,"smart 2: 2, 0.6",2,turned flower
641,"smart 2: 2, 0.6",2,turned flower
642,"smart 2: 2, 0.6",2,win challange
643,"smart 2: 2, 0.6",2,self lose challange
644,"smart 2: 2, 0.6",2,win challange
645,approx q learning,0,turned flower
646,approx q learning,0,turned flower
647,approx q learning,0,turned flower
648,approx q learning,0,lose challange
649,approx q learning,0,turned flower
650,approx q learning,0,lose challange
651,"smart 2: 0, 0.6",3,self lose challange
652,"smart 2: 0, 0.6",3,turned flower
653,"smart 2: 0, 0.6",3,self lose challange
654,"smart 2: 0, 0.6",3,turned flower
655,"smart 2: 0, 0.6",3,lose challange
656,"smart 2: 0, 0.4",1,self lose challange
657,"smart 2: 2, 0.6",2,self lose challange
658,approx q learning,0,turned flower
659,approx q learning,0,lose challange
660,approx q learning,0,turned flower
661,approx q learning,0,lose game
662,"smart 2: 0, 0.4",1,turned flower
663,"smart 2: 0, 0.4",1,turned flower
664,"smart 2: 0, 0.4",1,win challange
665,"smart 2: 0, 0.6",3,turned flower
666,"smart 2: 0, 0.6",3,lose game
667,"smart 2: 0, 0.4",1,turned flower
668,"smart 2: 0, 0.4",1,self lose challange
669,"smart 2: 0, 0.4",1,self lose challange
670,"smart 2: 2, 0.6",2,self lose challange
671,"smart 2: 0, 0.4",1,turned flower
672,"smart 2: 0, 0.4",1,win challange
673,"smart 2: 0, 0.6",3,turned flower
674,"smart 2: 0, 0.6",3,lose challange
675,"smart 2: 0, 0.4",1,self lose challange
676,"smart 2: 0, 0.4",1,self lose challange
